P,wt_e,wt_a
0.1,10.99164685,11.64617024
0.2,19.78088142,20.7626665
0.3,26.30673484,27.94304331
0.4,31.79079648,33.75436664
0.5,36.36323795,38.6540698
1,48.91565473,53.82458012
1.5,55.08368022,62.28343746
2,58.26889209,67.75948119
2.5,59.70072745,71.8094101
3,60.26065912,74.98743531
3.5,60.18595837,77.5308281
4,59.52644751,79.48941079
4.5,58.82197744,81.40303427
5,57.67044827,82.86959864
5.5,56.4828614,84.30010532
6,55.36513836,85.47321413
6.5,53.82399105,86.55016036
7,52.57078821,87.58778938
7.5,51.22208387,88.52991688
8,49.77910852,89.37777339
8.5,48.27262477,90.16212149
9,46.6784807,90.85880927
9.5,45.42548731,91.56938604
10,44.23095595,92.33842484
