P,wt_e,wt_a
0.1,1.846603522,1.871384665
0.2,2.292538532,2.342100818
0.3,2.549245563,2.623588991
0.4,2.722201749,2.821326319
0.5,2.852167443,2.976073156
1,3.216415877,3.464227303
1.5,3.36561405,3.749721762
2,3.442727927,3.950741352
2.5,3.456743316,4.101053025
3,3.432958705,4.213564699
3.5,3.381642989,4.310935839
4,3.32775119,4.393340325
4.5,3.256411237,4.458296656
5,3.175866328,4.514048032
5.5,3.094053285,4.568531274
6,3.005867854,4.616642128
6.5,2.910218921,4.65728948
7,2.822810049,4.693786321
7.5,2.723401817,4.730674373
8,2.644062428,4.762850126
8.5,2.55175961,4.794453022
9,2.47058493,4.824793483
9.5,2.38174759,4.847471285
10,2.296755126,4.873993964
