P,wt_e,wt_a
0.1,1.230488866,1.277898076
0.2,1.641870909,1.730763178
0.3,1.913245732,2.049547212
0.4,2.125728953,2.303513492
0.5,2.291353424,2.516547173
1,2.840673948,3.296987596
1.5,3.145441922,3.838801622
2,3.334882331,4.271214233
2.5,3.445693853,4.630924109
3,3.506880062,4.941008671
3.5,3.525861208,5.214814323
4,3.514668842,5.458446461
4.5,3.481812837,5.680414961
5,3.428959587,5.882386217
5.5,3.359944696,6.068195831
6,3.28195457,6.239104058
6.5,3.197996968,6.398118658
7,3.107804027,6.544971768
7.5,3.017593228,6.68588087
8,2.919061995,6.812543385
8.5,2.825569057,6.938318045
9,2.727410618,7.053501052
9.5,2.627506138,7.161011866
10,2.536189283,7.265258003
