P,wt_e,wt_a
0.1,19.51158176,20.44301563
0.2,29.2018621,30.97158646
0.3,35.59173878,38.19975362
0.4,40.02715423,43.56660295
0.5,43.60901113,47.98675033
1,53.71151802,62.56013982
1.5,58.75289268,72.25868384
2,61.6580368,79.9141407
2.5,63.38269838,86.48225843
3,64.08851848,92.12467805
3.5,64.15056315,97.12332225
4,63.74178477,101.7442868
4.5,62.81359601,105.8458409
5,61.77579053,109.744635
5.5,60.38997154,113.2954155
6,58.86170651,116.6106066
6.5,57.21808713,119.7173
7,55.52757377,122.683956
7.5,53.61085983,125.331268
8,51.7910709,127.8892183
8.5,50.00905161,130.3917948
9,48.08454903,132.6587447
9.5,46.19813836,134.7774997
10,44.46930767,136.9606912
