P,wt_e,wt_a
0.1,18.06316624,18.74388034
0.2,26.28040654,27.64183475
0.3,31.64397306,33.68611537
0.4,35.61798653,38.34084294
0.5,38.7011903,42.10476082
1,47.94254001,54.74968104
1.5,52.78990741,63.11407131
2,55.54775026,69.50238938
2.5,57.22555169,74.81066603
3,57.97669247,79.30573438
3.5,58.20143931,83.27440879
4,57.8863186,86.816668
4.5,57.3102416,89.98451856
5,56.32819125,92.85984813
5.5,55.20117375,95.4767582
6,53.95781086,97.86387054
6.5,52.54286265,100.0793975
7,51.11272089,102.1662786
7.5,49.64659205,104.1037203
8,48.08849873,105.9491975
8.5,46.39574428,107.5465612
9,44.86307563,109.1905584
9.5,43.34480182,110.7354981
10,41.72834861,112.068806
