P,wt_e,wt_a
0.1,20.91052122,21.18738032
0.2,26.70398968,27.25770787
0.3,29.9453738,30.77595108
0.4,32.08798078,33.19541715
0.5,33.65401208,35.03830754
1,37.69921873,40.46780966
1.5,39.23384684,43.4328764
2,39.71053728,45.38614867
2.5,39.63623753,46.83457393
3,39.18800266,47.90906407
3.5,38.52934842,48.81927801
4,37.75340098,49.56605558
4.5,36.84793055,50.22945334
5,35.89305554,50.79730333
5.5,34.8380166,51.31113258
6,33.79199865,51.74169646
6.5,32.70906801,52.13534764
7,31.61036008,52.51322154
7.5,30.60876141,52.89591832
8,29.50905771,53.18051009
8.5,28.46933554,53.4789402
9,27.44995328,53.75156704
9.5,26.46304844,54.01052811
10,25.57970275,54.32690515
