P,wt_e,wt_a
0.1,1.533746604,1.572144923
0.2,2.072917813,2.14971445
0.3,2.410496504,2.52569146
0.4,2.650722337,2.804315612
0.5,2.841514431,3.033506025
1,3.391424433,3.7850072
1.5,3.675844812,4.271018752
2,3.831586281,4.637950974
2.5,3.922079215,4.939634661
3,3.961355639,5.190101838
3.5,3.951135734,5.400672266
4,3.918981686,5.58930855
4.5,3.866632554,5.757749751
5,3.802440357,5.904748307
5.5,3.713810574,6.036908856
6,3.62478708,6.159076115
6.5,3.522611009,6.268090798
7,3.425022066,6.372093028
7.5,3.31260766,6.461269795
8,3.210460197,6.551113925
8.5,3.106644775,6.629690517
9,3.000682054,6.70611981
9.5,2.887015863,6.774845633
10,2.792541664,6.843564288
