P,Z
10,0.998029295
10.033,0.998611168
10.067,0.999289162
10.1,0.999864507
10.133,1.000468379
10.167,1.001135969
10.2,1.001733276
10.233,1.002327436
10.267,1.003016167
10.3,1.003603853
10.333,1.004219706
10.367,1.004929322
10.4,1.005538606
10.433,1.006144769
10.467,1.006844025
10.5,1.007443769
10.533,1.008071344
10.567,1.00879124
10.6,1.009412311
10.633,1.010030284
10.667,1.010770593
10.7,1.011382149
10.733,1.012021221
10.767,1.012751236
10.8,1.013383868
10.833,1.014013429
10.867,1.01476365
10.9,1.015417134
10.933,1.016067507
10.967,1.016807508
11,1.017451507
11.033,1.018092463
11.067,1.01885248
11.1,1.019517117
11.133,1.020178674
11.167,1.020928597
11.2,1.021613674
11.233,1.022265859
11.267,1.023035578
11.3,1.023711221
11.333,1.024383814
11.367,1.025143565
11.4,1.025839465
11.433,1.026502784
11.467,1.027282176
11.5,1.027968746
11.533,1.028681665
11.567,1.029451171
11.6,1.030157787
11.633,1.030832116
11.667,1.031621124
11.7,1.032318512
11.733,1.033042026
11.767,1.033821274
11.8,1.034538558
11.833,1.03525283
11.867,1.036051413
11.9,1.036759533
11.933,1.037464697
11.967,1.038282517
12,1.039010399
12.033,1.039706545
12.067,1.040514752
12.1,1.041262294
12.133,1.041978191
12.167,1.042805495
12.2,1.043515385
12.233,1.044250936
12.267,1.045097252
12.3,1.045826757
12.333,1.04655337
12.367,1.04739019
12.4,1.048139222
12.433,1.048885342
12.467,1.049712765
12.5,1.050452947
12.533,1.05121849
12.567,1.052036645
12.6,1.052796252
12.633,1.05355298
12.667,1.054390085
12.7,1.055169007
12.733,1.055917004
12.767,1.056772958
12.8,1.057515156
12.833,1.058282505
12.867,1.059157244
12.9,1.059918765
12.933,1.060677487
12.967,1.061543105
13,1.062323881
13.033,1.063101844
13.067,1.063958433
13.1,1.064730668
13.133,1.065527807
13.167,1.066375482
13.2,1.0671669
13.233,1.067955539
13.267,1.068821974
13.3,1.069604954
13.333,1.070412704
13.367,1.071270341
13.4,1.072072441
13.433,1.072871794
13.467,1.073748144
13.5,1.074541907
13.533,1.075360316
13.567,1.076227983
13.6,1.077040812
13.633,1.077850925
13.667,1.078737267
13.7,1.079541859
13.733,1.080343777
13.767,1.081221571
13.8,1.082045206
13.833,1.082866159
13.867,1.083762595
13.9,1.084578094
13.933,1.085390949
13.967,1.086278949
14,1.08711345
14.033,1.087918302
14.067,1.088824939
14.1,1.089651425
14.133,1.090475299
14.167,1.091400521
14.2,1.092219062
14.233,1.093035028
14.267,1.093951954
14.3,1.094789491
14.333,1.095624445
14.367,1.096533152
14.4,1.097362861
14.433,1.098216771
14.467,1.099117352
14.5,1.099966029
14.533,1.100812154
14.567,1.101731371
14.6,1.102572314
14.633,1.103410741
14.667,1.10434857
14.7,1.105181864
14.733,1.106039253
14.767,1.106969094
14.8,1.107821365
14.833,1.108671147
14.867,1.109593088
14.9,1.11043782
14.933,1.111306568
14.967,1.112220694
15,1.113084405
15.033,1.113945657
15.067,1.114878456
15.1,1.115734718
15.133,1.116614926
15.167,1.11754001
15.2,1.118415241
15.233,1.119288044
15.267,1.120205494
15.3,1.121073383
15.333,1.121965152
15.367,1.122901311
15.4,1.123761917
15.433,1.124646388
15.467,1.125575023
15.5,1.12645464
15.533,1.127331887
15.567,1.128279251
15.6,1.129151688
15.633,1.13004793
15.667,1.130987868
15.7,1.131879316
15.733,1.132742317
15.767,1.133701007
15.8,1.134585377
15.833,1.135467432
15.867,1.136418803
15.9,1.137296163
15.933,1.138197261
15.967,1.139141386
16,1.140037805
16.033,1.140931938
16.067,1.141894863
16.1,1.142784358
16.133,1.143671592
16.167,1.144627374
16.2,1.145535951
16.233,1.146416352
16.267,1.147390965
16.3,1.148292713
16.333,1.149192227
16.367,1.150159789
16.4,1.151054773
16.433,1.151947548
