P,wt_e,wt_a
0.1,1.525554913,1.573866163
0.2,2.10384791,2.200470408
0.3,2.484537784,2.619809281
0.4,2.75514294,2.938725687
0.5,2.974223053,3.1964548
1,3.599522702,4.053648444
1.5,3.929019979,4.615039718
2,4.119104132,5.046680117
2.5,4.220850264,5.399644745
3,4.268364571,5.698377547
3.5,4.279369809,5.960601281
4,4.259742108,6.192192076
4.5,4.200359917,6.393690631
5,4.13723354,6.58178275
5.5,4.052649819,6.748417525
6,3.964425104,6.901749056
6.5,3.861850015,7.040730213
7,3.748977674,7.169414118
7.5,3.635276569,7.287607009
8,3.529436542,7.403998729
8.5,3.419857289,7.506988972
9,3.303441092,7.603142271
9.5,3.192462873,7.6950713
10,3.078140035,7.783655708
