P,wt_e,wt_a
0.1,13.33842799,14.33602891
0.2,23.73420265,25.72940447
0.3,32.15564029,34.8990428
0.4,39.01406676,42.75507019
0.5,44.71388951,49.20309361
1,63.45070016,72.67850861
1.5,73.97440716,87.94081993
2,80.27455121,99.22896856
2.5,84.27773912,108.220161
3,86.5133478,115.4437743
3.5,87.50610037,121.6739316
4,87.81751646,126.9733523
4.5,87.27781936,131.67106
5,86.24165119,135.6228964
5.5,84.65910698,139.277757
6,82.87340135,142.4800559
6.5,81.07590906,145.4211679
7,78.85186756,148.185131
7.5,76.86193806,150.6844056
8,74.40873266,152.9698045
8.5,72.43383202,155.2347078
9,70.06468947,157.1053691
9.5,67.77327499,159.0537585
10,65.42671812,160.6976053
