6374,6,,,,,,,,,
LCD,PLD,AGSA,Density,VF,dH,LNG-ANG_WC,ANG_WC,5bar,6bar,65bar
12.29205,5.40077,2485.27,0.881935,0.6948,-17.34981805,244.5508116,129.5345892,79.78808702,324.3388986,209.3226762
22.82402,13.49014,4829.51,0.343942,0.8736,-8.92480931,351.7895643,147.8329017,17.1943244,368.9838887,165.0272261
21.62414,10.92309,4179.02,0.435607,0.8462,-12.94297558,361.7163739,158.8643542,28.10163717,389.8180111,186.9659914
18.23438,6.60024,3491.36,0.629251,0.765,-13.70571247,328.0952644,176.2457199,57.83275364,385.928018,234.0784735
18.07263,6.71346,3519.51,0.63164,0.7846,-14.28581069,335.6837234,181.6577373,63.3463843,399.0301077,245.0041216
17.16775,6.7332,3636.01,0.625693,0.7672,-13.33149895,329.1881483,180.3072081,53.03767181,382.2258201,233.3448799
26.33515,10.27637,5129.28,0.33727,0.871,-11.69811754,386.7124397,167.589994,24.67519129,411.387631,192.2651853
27.33782,13.33904,6170.7,0.238777,0.896,-8.409630304,378.1713038,152.0892478,15.68398697,393.8552908,167.7732348
24.55082,12.17426,4535.57,0.377577,0.8764,-11.46776994,371.6368607,151.6984379,21.83417694,393.4710376,173.5326148
5.76724,4.10445,1033.38,1.26343,0.5042,-22.52976106,49.668546,30.9206591,108.887835,158.556381,139.8084941
5.72682,5.00855,890.52,1.28062,0.4934,-22.01791056,61.91054936,32.84888966,86.52829804,148.4388474,119.3771877
4.43355,3.91364,634.715,1.23763,0.4682,-29.68536296,7.4688544,5.6800606,149.8044378,157.2732922,155.4844984
5.54673,3.76596,289.129,1.63796,0.4676,-21.29549452,73.0565628,48.6128618,57.0206546,130.0772174,105.6335164
5.50949,3.76943,289.33,1.63796,0.4672,-21.30170878,72.65228564,46.96059874,57.99242636,130.644712,104.9530251
5.54781,3.82743,594.207,1.58873,0.4886,-20.62474839,165.9682377,82.1653748,74.1225474,240.0907851,156.2879222
5.48974,3.85295,265.831,1.71617,0.454,-21.99411671,76.97023869,39.83534794,51.71936931,128.689608,91.55471725
5.46006,3.86825,263.145,1.70055,0.456,-21.87363295,73.78938277,45.19312847,56.66897553,130.4583583,101.862104
5.42744,3.86629,261.743,1.70055,0.4564,-21.89708024,75.72645552,46.69217842,54.35757658,130.0840321,101.049755
5.40135,3.83278,613.56,1.53544,0.4904,-20.46593635,170.8627161,76.48562962,71.96785358,242.8305697,148.4534832
5.38376,3.83937,254.543,1.74701,0.4538,-22.01528574,70.84593121,45.05566981,59.70388599,130.5498172,104.7595558
10.017,4.9065,1977.46,1.03876,0.6856,-13.63090418,316.1694402,138.7944138,48.16220289,364.3316431,186.9566167
25.68553,17.12424,3194.1,0.402567,0.8358,-10.24071172,350.307748,145.70816,20.04284861,370.3505966,165.7510086
9.28386,6.55138,2844.14,0.722123,0.7098,-15.15420326,248.4204264,126.3078649,78.12253497,326.5429614,204.4303999
16.37935,5.99724,4587.82,0.521247,0.7844,-14.06415553,283.5363046,151.3256332,67.42683673,350.9631413,218.7524699
5.99825,5.12689,1489.79,1.10129,0.5808,-18.87321253,117.1039176,65.3376335,101.336178,218.4400956,166.6738115
4.64022,4.09997,1422.49,1.06928,0.5262,-24.91079261,69.2045053,44.5471412,128.3444885,197.5489938,172.8916297
7.3533,5.37116,1359.07,1.01683,0.561,-20.59965992,117.0073595,58.02578287,84.77841633,201.7857758,142.8041992
