smile,lf
C(C(F)(F)F)(C(F)(F)F)O,0.6806183945411387
 C(=C/F)\C(C(F)(F)F)(C(F)(F)F)F  ,-1.7381862795764624
 C(C(C(F)(F)F)(F)F)(Cl)Cl,0.573725948001614
