mlp,rf
HomoLumoGap,IP
Chi2n,qed
MolMR,FractionCSP3
Chi1n,SMR_VSA7
BCUT2D_LOGPLOW,MinAbsEStateIndex
IP,FpDensityMorgan2
AvgIpc,BCUT2D_LOGPHI
MaxPartialCharge,Chi2v
BCUT2D_MWHI,HomoLumoGap
fr_halogen,Chi0v
