1081,6,1,,,,,,
Number,Filename,PLD,LCD,Density,ASA_m2_cm3,AV_VF,Kr_heat,Kr_M
0,ABEXEM_clean,4.14331,4.82084,1.76082,968.791,0.494,-16.91562618,2.42010085
1,ABEXIQ_clean,4.06893,4.80529,1.7876,954.695,0.4776,-17.55089538,2.35435618
2,ABEYIR_clean,3.92183,4.69665,1.96962,879.845,0.464,-17.72813541,2.00094893
3,ABIXOZ_clean,4.0515,6.22728,1.91751,1873.93,0.5866,-11.82844937,4.67165325
4,ABULOB_clean,4.16445,4.86958,1.31921,1184.81,0.5364,-21.46531699,5.6777399
5,ACAJOF_clean,6.10482,6.86398,1.21871,1121.27,0.513,-15.07460018,3.81457525
6,ACIBOE_clean,7.03071,8.25776,1.10094,2063.01,0.6554,-14.76801267,8.34721615
7,ACUBAB_clean,4.30295,6.48174,2.30944,1238.98,0.5252,-19.05537631,2.06232051
8,ACUTOI_clean,4.5372,5.192,1.71994,820.91,0.4076,-19.23846969,1.99566928
9,ADASEF_clean,10.92309,21.62414,0.435607,1820.41,0.8462,-9.924961035,2.56E+01
10,ADAXEK_clean,4.10445,5.76724,1.26343,1305.6,0.5042,-18.73644267,4.25969988
11,ADODOO_clean,5.31331,5.9443,1.28796,1054.79,0.5256,-17.87578945,3.19520737
12,AFITEP_clean,4.09997,4.64022,1.06928,1521.04,0.5262,-20.24486771,5.80330049
13,AFUPEX_clean,4.58891,5.43312,1.38641,2204.93,0.6146,-15.08128044,6.74482473
14,ALEQIT_clean,3.96262,5.78407,1.90553,677.8,0.434,-18.30667397,1.57617378
15,ALOLIY_clean,5.12412,6.86569,1.19169,992.554,0.537,-11.13977921,3.60096169
16,ALUJEX_clean,4.42191,5.99288,1.43356,1311.29,0.5364,-16.80718741,3.94477405
17,ALUKIC_clean,6.77342,8.54387,0.56692,2883.21,0.7934,-9.790613787,2.70E+01
18,ALULEZ_clean,13.37911,18.75501,0.425946,1475.35,0.8336,-7.781006422,3.67E+01
19,AMILUE_clean,11.07263,11.39418,0.982365,1253.76,0.6124,-18.85244231,6.01020912
20,AMOYOR_clean,4.48972,4.82905,1.16972,759.125,0.4596,-19.73678739,2.60263437
21,ANAWIX_clean,5.01969,5.45667,1.52823,1486.52,0.5628,-16.78027566,3.54901843
22,ANAWOD_clean,6.10595,6.92762,1.43826,1562.19,0.5924,-15.96090656,5.35894464
23,ANENIR_clean,4.26664,6.14773,1.32991,783.463,0.4684,-17.14645048,2.34365236
24,AQEQES_clean,5.37606,5.6853,1.07587,1742.46,0.6052,-15.57183926,7.03116356
25,AQUDAS_clean,5.62446,9.38408,1.03958,1962.23,0.6752,-12.41676168,8.35317421
26,AQUDIB_clean,10.54479,11.3608,1.19943,1577.62,0.659,-12.51833024,9.30961532
27,ARUYES_clean,4.58095,5.37817,1.47856,1357.43,0.5162,-18.10070293,4.21244099
