index,SMILE,FractionCSP3,SMR_VSA7,SlogP_VSA6,IP,HomoLumoGap,MinAbsEStateIndex,SlogP_VSA5,PEOE_VSA11,fr_ester,PEOE_VSA10,LF
37,C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,1.0,0.0,0.0,0.42710509,0.3597,7.4845153061224465,0.0,0.0,0,0.0,3.491361694
38,C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,1.0,0.0,0.0,0.42810556,0.37523,5.07951388888889,0.0,0.0,0,0.0,1.505149978
39,C(C(C(C(F)(F)F)(F)F)(F)F)O,1.0,0.0,0.0,0.394277715,0.33801,2.556041666666667,0.0,0.0,0,6.606881964512918,-0.259637311
40,C(C(C(C(F)(F)F)F)(F)F)O,1.0,0.0,0.0,0.397771334,0.3478,2.159050925925926,0.0,0.0,0,6.606881964512918,-0.435333936
41,C(C(C(F)(F)Cl)(F)F)(F)Cl,1.0,0.0,0.0,0.41301378,0.31399,3.4861111111111116,0.0,0.0,0,0.0,0.770852012
42,C(C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,1.0,0.0,0.0,0.43155834,0.36586,7.258749999999999,0.0,0.0,0,0.0,3.612783857
43,C(C(C(F)(F)F)(F)F)(C(F)(F)F)(F)F,1.0,0.0,0.0,0.45274427,0.39637,6.966249999999999,0.0,0.0,0,0.0,3.414973348
44,C(C(C(F)(F)F)(F)F)(F)F,1.0,0.0,0.0,0.444128271,0.40148,4.70138888888889,0.0,0.0,0,0.0,1.477121255
45,C(C(C(F)(F)F)(F)F)F,1.0,0.0,0.0,0.442388325,0.39405,2.697916666666667,0.0,6.674590972274908,0,0.0,1.127104798
46,C(C(C(F)(F)F)(F)F)O,1.0,0.0,0.0,0.402461134,0.3498,2.197916666666667,0.0,0.0,0,6.606881964512918,-0.326979093
47,C(C(C(F)(F)F)F)(C(C(F)(F)F)(F)F)F,1.0,0.0,0.0,0.43849431,0.37426,4.894328703703705,0.0,0.0,0,0.0,1.230448921
48,C(C(C(F)(F)F)F)F,1.0,0.0,0.0,0.441109306,0.38883,1.9965277777777777,0.0,0.0,0,6.674590972274908,0.505149978
49,C(C(C(F)F)(F)F)F,1.0,0.0,0.0,0.425993591,0.38625,2.300925925925926,0.0,6.674590972274908,0,0.0,0.819543936
50,C(C(C(F)F)(F)F)O,1.0,0.0,0.0,0.391070215,0.34576,1.800925925925926,0.0,0.0,0,6.606881964512918,-0.59345982
51,C(C(C(F)F)(F)F)OC(F)F,1.0,0.0,0.0,0.41273935,0.38321,1.9699074074074074,0.0,0.0,0,6.606881964512918,0.544068044
52,C(C(Cl)(Cl)Cl)(F)(F)Cl,1.0,0.0,0.0,0.40493145,0.26619,2.713734567901234,0.0,0.0,0,0.0,1.716003344
53,C(C(Cl)(Cl)Cl)(F)(F)F,1.0,0.0,0.0,0.41366938,0.26783,3.145833333333333,0.0,0.0,0,0.0,1.740362689
54,C(C(Cl)Cl)(F)F,1.0,0.0,0.0,0.41720555,0.29595,1.5370370370370374,0.0,4.836269690250055,0,0.0,0.049218023
55,C(C(F)(Cl)Cl)(Cl)Cl,1.0,0.0,0.0,0.39143845,0.26726,1.3927469135802475,0.0,4.836269690250055,0,0.0,0.045322979
