index,SMILE,IP,FractionCSP3,SMR_VSA7,SlogP_VSA6,HomoLumoGap,VSA_EState8,fr_ketone_Topliss,fr_ketone,AvgIpc,EState_VSA6,GWP
163,CCl,0.414108329,1.0,0.0,0.0,0.32194,0.0,0,0,1.0,0.0,0.743509765
164,CCOC(=O)C(F)(F)F,0.39964439,0.75,0.0,0.0,0.27347,1.0575231481481482,0,0,1.6431060651096356,0.0,0.198657087
165,CCOC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,0.41007766,1.0,0.0,0.0,0.37148,-0.4243565759637191,0,0,2.0052437236705822,0.0,1.783188691
166,CCOC(C(C(F)(F)F)(C(F)(F)F)F)(F)F,0.41554179,1.0,0.0,0.0,0.35809,-0.5219160997732426,0,0,1.9754539118638548,0.0,1.53529412
167,CCOC(C(C(F)(F)F)F)(F)F,0.408771564,1.0,0.0,0.0,0.37146,0.34772250566893437,0,0,1.8379996300562602,0.0,1.421603927
168,CCOC(C(F)F)(F)F,0.406165483,1.0,0.0,0.0,0.3979,0.7992361111111113,0,0,1.6503097444942738,0.0,1.096910013
169,CCOC(F)(F)F,0.41660236,1.0,0.0,0.0,0.41302,0.969236111111111,0,0,1.2958363892911637,0.0,1.465382851
170,CF,0.467051091,1.0,0.0,0.0,0.43841,0.0,0,0,1.0,0.0,2.130333768
171,COC(=O)C(F)(F)F,0.407841876,0.6666666666666666,0.0,0.0,0.27392,0.0,0,0,1.6203352658383443,0.0,1.915399835
172,COC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,0.41636913,1.0,0.0,0.0,0.37476,0.0,0,0,2.0119671581158425,0.0,2.7355989
173,COC(C(C(F)(F)F)(C(F)(F)F)F)(C(C(F)(F)F)(F)F)F,0.39501384,1.0,0.0,0.0,0.32127,0.0,0,0,2.211734176876457,0.0,2.607455023
174,COC(C(C(F)(F)F)(C(F)(F)F)F)(F)F,0.42672527,1.0,0.0,0.0,0.36263,0.0,0,0,1.9810272659383548,0.0,2.640481437
175,COC(C(C(F)(F)F)(F)F)(F)F,0.425652853,1.0,0.0,0.0,0.39037,0.0,0,0,1.8483335453198617,0.0,2.760422483
176,COC(C(C(F)(F)F)F)(F)F,0.419893223,1.0,0.0,0.0,0.37654,0.0,0,0,1.8440159989938614,0.0,2.421603927
177,COC(C(C(F)F)(F)F)(F)F,0.411710977,1.0,0.0,0.0,0.38593,0.0,0,0,1.8702082025858733,0.0,2.442479769
178,COC(C(F)(F)F)(C(F)(F)F)F,0.411462808,1.0,0.0,0.0,0.37417,0.0,0,0,1.8054722985800935,0.0,2.593286067
