index,SMILE,HomoLumoGap,BCUT2D_LOGPLOW,MolMR,fr_halogen,IP,Chi1n,BCUT2D_CHGLO,Chi1v,BCUT2D_MRHI,BertzCT,GWP
50,C(C(C(F)F)(F)F)O,0.34576,-2.2992457232992307,18.036800000000003,4,0.391070215,1.7728565446861366,-2.0911961321513997,1.7728565446861366,4.650350648467967,71.6836743955838,1.158362492
51,C(C(C(F)F)(F)F)OC(F)F,0.38321,-2.3263621365643465,22.906999999999996,6,0.41273935,2.4174419541316126,-2.1360352607470983,2.4174419541316126,4.667353671501969,113.14991061829625,2.684845362
52,C(C(Cl)(Cl)Cl)(F)(F)Cl,0.26619,-2.2564460628220067,31.090000000000003,6,0.40493145,1.3838934190276817,-2.1494201072107053,2.8957513110645903,6.700287500269521,67.01955000865388,3.550228353
53,C(C(Cl)(Cl)Cl)(F)(F)F,0.26783,-2.2693120386016066,26.345000000000002,6,0.41366938,1.3838934190276817,-2.1308841033842785,2.517786838055363,6.677140027118687,67.50977500432694,3.59439255
54,C(C(Cl)Cl)(F)F,0.29595,-1.992139865609292,21.497999999999998,4,0.41720555,1.206204894277303,-1.9162339738199685,2.0790764552212724,6.441009238302486,30.52932501298081,1.847572659
55,C(C(F)(Cl)Cl)(Cl)Cl,0.26726,-2.128477156050443,31.038999999999998,5,0.39143845,1.2920576245806386,-2.0657675160760767,2.9208581315430626,6.58325026410878,55.20035947603792,1.765668555
56,C(C(F)(Cl)Cl)(F)(Cl)Cl,0.28124,-2.2560228344349516,31.090000000000003,6,0.40716058,1.3838934190276817,-2.1487706171695895,2.8957513110645907,6.601936541215145,67.01955000865388,3.664641976
57,C(C(F)(Cl)Cl)(F)(F)Cl,0.29286,-2.2684867151008214,26.345,6,0.42040364,1.3838934190276817,-2.1315840203880296,2.5177868380553634,6.509766302612769,67.50977500432694,3.814247596
58,C(C(F)(Cl)Cl)(F)(F)F,0.29392,-2.280963129729824,21.6,6,0.43024014,1.3838934190276817,-2.1130617244783445,2.139822365046136,6.472145608087532,67.01955000865388,3.870403905
59,C(C(F)(Cl)Cl)(F)Cl,0.28215,-2.139794949877572,26.294,5,0.40705172,1.2920576245806386,-2.0514835381607903,2.4844223510710775,6.502249356441512,56.44547197387445,2.389166084
60,C(C(F)(Cl)Cl)F,0.29288,-2.040608055386472,21.52,4,0.41872573,1.187761342019539,-1.9719914664062506,1.9436902880379932,6.467061438866516,39.30296890880646,2.534026106
61,C(C(F)(F)Br)(F)(F)Br,0.24622,-2.268372577288226,27.748,6,0.39522931,1.3838934190276817,-2.126068802679265,2.9698899581423857,9.123063870779102,67.01955000865388,3.336459734
62,C(C(F)(F)Cl)(Cl)Cl,0.28432,-2.1450151593916904,26.294,5,0.40670093,1.2920576245806386,-2.0472533394616077,2.5428936585338358,6.482820510421567,56.44547197387445,1.751279104
63,C(C(F)(F)Cl)(F)(F)Cl,0.32408,-2.280559550348423,21.6,6,0.43310363,1.3838934190276817,-2.1147225063281097,2.139822365046136,6.311226153896109,67.01955000865388,3.974511693
64,C(C(F)(F)Cl)(F)(F)F,0.33644,-2.2926571448852306,16.855,6,0.4565249,1.3838934190276817,-2.0961543188229483,1.761857892036909,6.217435304185157,65.40990953421706,3.982271233
65,C(C(F)(F)Cl)(F)Cl,0.31698,-2.1558657388219604,21.549,5,0.42559675,1.2920576245806386,-2.0332880132060747,2.1064578780618506,6.295845806279434,56.44547197387445,2.596597096
66,C(C(F)(F)F)(C(F)(F)F)(F)F,0.42021,-2.487573974934419,17.057000000000002,8,0.465475764,2.011857892036909,-2.208969460023583,2.011857892036909,4.828195893585428,120.39661034611619,3.968015714
67,C(C(F)(F)F)(C(F)(F)F)F,0.41225,-2.3769120497146847,17.006000000000004,7,0.46716158,1.9294615784533,-2.1389326471001167,1.9294615784533,4.728473375454713,93.00007685190862,3.556302501
68,C(C(F)(F)F)(Cl)Br,0.25572,-2.1562665989238763,24.623,5,0.40330832,1.2920576245806386,-2.0319885557879105,2.6441689338443126,9.09694939302317,58.44547197387445,1.653212514
69,C(C(F)(F)F)(Cl)Cl,0.29568,-2.161402454674187,21.549,5,0.42308256,1.2920576245806386,-2.0278796765139497,2.1649291855246084,6.4437051370355505,56.44547197387445,1.95616843
70,C(C(F)(F)F)(F)(F)F,0.47485,-2.3043867953191657,12.110000000000003,6,0.494092245,1.3838934190276817,-2.077128852108083,1.3838934190276817,4.594437340868544,61.50977500432693,4.093421685
71,C(C(F)(F)F)(F)Br,0.27328,-2.16661642444865,19.878,5,0.41074817,1.2920576245806386,-2.018187796885684,2.207733153372328,9.091906480912437,55.20035947603792,2.303196057
72,C(C(F)(F)F)(F)Cl,0.32506,-2.171811801394724,16.804000000000002,5,0.434961906,1.2920576245806386,-2.014062439785146,1.7284934050526233,6.195981825097408,55.20035947603792,2.775974331
73,C(C(F)(F)F)(F)F,0.43772,-2.1823294879064297,12.059000000000003,5,0.466143167,1.2920576245806386,-2.00024158903679,1.2920576245806386,4.484648327441878,51.5907190016011,3.572871602
74,C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F,0.41176,-2.549717187947417,27.985000000000003,11,0.44524624,3.336541795504388,-2.2845708386600543,3.336541795504388,4.8508427561413505,262.0158056483806,3.821513528
75,C(C(F)(F)F)(OC(F)(F)F)F,0.44026,-2.3230762971839347,18.091,7,0.463875284,2.080612849485935,-2.1352182725950906,2.080612849485935,4.534303268490155,122.6278258397897,3.876217841
76,C(C(F)(F)F)(OC(F)F)F,0.43354,-2.2836779045380386,18.040000000000003,6,0.449640889,1.9816800356076627,-2.106708164165085,1.9816800356076627,4.518821706330144,97.65627610972469,3.413299764
77,C(C(F)(F)F)Br,0.27033,-2.0668160937414806,19.848999999999997,4,0.40375793,1.187761342019539,-1.9478375322251615,2.3092302497659416,9.089179127661465,38.54808140664299,2.247973266
78,C(C(F)(F)F)C(F)(F)F,0.46237,-2.200229433520743,16.727000000000004,6,0.475636481,1.8410002002142294,-2.075732028671521,1.8410002002142294,4.57047034970848,73.45654516950493,3.939019776
79,C(C(F)(F)F)Cl,0.31956,-2.0711090419985005,16.775000000000002,4,0.431566028,1.187761342019539,-1.9446254360145008,1.7222838258443878,6.178570448537928,38.54808140664299,2.588831726
80,C(C(F)(F)F)F,0.42813,-2.079896722841227,12.030000000000003,4,0.465805406,1.187761342019539,-1.9337590983470294,1.187761342019539,4.394467685976625,35.30296890880646,3.184691431
81,C(C(F)(F)F)O,0.36098,-2.116935503636076,13.140800000000002,3,0.41202365,1.2367278661239527,-1.9536152973638052,1.2367278661239527,4.387281990635491,38.54808140664299,1.552668216
82,C(C(F)(F)F)OC(C(F)(F)F)(F)F,0.40703,-2.4097750074625437,23.009,8,0.44815765,2.6082105624569265,-2.193700490726692,2.6082105624569265,4.64591686299177,165.96329012267483,3.017033339
83,C(C(F)(F)F)OC(C(F)F)(F)F,0.40175,-2.3387742076374582,22.958,7,0.434114265,2.5163747680098836,-2.158735913517623,2.5163747680098836,4.5694664185042315,138.83202715243524,2.991226076
84,C(C(F)(F)F)OC(F)(F)F,0.4162,-2.2390288090999966,18.062,6,0.450522174,1.9802460894477,-2.0836066570951366,1.9802460894477,4.449794775624303,86.54100625134225,3.041392685
85,C(C(F)(F)F)OC(F)F,0.41141,-2.18379258264903,18.011,5,0.434837613,1.8813132755694282,-2.0438258897422417,1.8813132755694282,4.4299419376959035,76.76251764207414,2.943494516
86,C(C(F)(F)F)OC=O,0.29053,-2.1542124685919863,18.070999999999998,3,0.41206806,1.6805797554929593,-2.0075048318216386,1.6805797554929593,5.363984971649595,77.08794560136667,1.738780558
87,C(C(F)(F)F)OCC(F)(F)F,0.35659,-2.2343929584850133,22.928999999999995,6,0.390384198,2.4183504694038547,-2.0853100909429307,2.4183504694038547,4.49442096705262,98.73114066028502,1.387389826
88,C(C(F)Cl)(F)Cl,0.31375,-1.9914820598036218,21.497999999999998,4,0.41812027,1.206204894277303,-1.9166189398814757,2.0790764552212724,6.279803881506433,30.52932501298081,2.086359831
89,C(C(F)Cl)Cl,0.29848,-1.843225652608558,21.468999999999998,3,0.40263497,1.1119453128482721,-1.8064913279345756,2.082903577145106,6.267419406885195,21.609640474436812,1.668385917
90,C(C(F)F)(C(F)(F)F)F,0.39126,-2.303690684104957,16.955000000000002,6,0.446135934,1.8436088481499644,-2.090080882075246,1.8436088481499644,4.665511250796356,82.79398751947123,3.176091259
91,C(C(F)F)(C(F)F)F,0.38037,-2.202616682033698,16.904000000000003,5,0.425523876,1.7577561178466288,-2.018312710227252,1.7577561178466288,4.586613199977533,52.69412204936134,2.40654018
92,C(C(F)F)(F)F,0.41552,-2.0225479941384323,12.008000000000003,4,0.44230689,1.206204894277303,-1.888101817661491,1.206204894277303,4.349756594285551,26.52932501298081,3.100370545
93,C(C(F)F)(OC(F)(F)F)F,0.41983,-2.2520103097369817,18.040000000000003,6,0.443660829,1.994760119182599,-2.094831465072621,1.994760119182599,4.43121982649984,97.65627610972469,3.100370545
94,C(C(F)F)C(F)(F)F,0.43359,-2.1155689345633175,16.676000000000002,5,0.448141575,1.7651841710429623,-2.018125410277477,1.7651841710429623,4.497414187517092,62.56425891682004,2.983175072
95,C(C(F)F)F,0.40601,-1.8790841481024492,11.979000000000003,3,0.437768714,1.1119453128482721,-1.7820121429308684,1.1119453128482721,4.234128119342156,18.854752972273346,2.561101384
96,C(C(F)F)O,0.35736,-1.9378906701549996,13.089800000000002,2,0.395412296,1.1609118369526856,-1.8106287872837064,1.1609118369526856,4.224330756854949,21.609640474436812,0.790988475
97,C(C(F)F)OC(C(F)(F)F)(F)F,0.38777,-2.3970553593376858,22.958,7,0.42061607,2.53239453328566,-2.182349623669446,2.53239453328566,4.634392630716788,138.83202715243527,2.983626287
98,C(C(F)F)OC(C(F)F)(F)F,0.38723,-2.3145895232638067,22.906999999999996,6,0.412228567,2.4405587388386167,-2.140822671510962,2.4405587388386167,4.544946002092472,113.14991061829625,2.919601024
99,C(C(F)F)OC(F)(F)F,0.39895,-2.17406097489468,18.011,5,0.421283431,1.9044300602764332,-2.0431555717840633,1.9044300602764332,4.338796954198489,76.76251764207414,2.970346876
100,C(C(OC(C(F)(F)F)(F)F)(F)F)(F)F,0.41661,-2.46635366850849,23.038,9,0.44160814,2.7062348610629563,-2.237458373803542,2.7062348610629563,4.682871129652473,193.47886011153977,3.57634135
101,C(C(OC(F)(F)F)(F)F)(C(F)(F)F)F,0.41088,-2.458475600493562,23.038,9,0.45755003,2.7156743419263902,-2.2245274660678858,2.7156743419263902,4.7510327501958916,189.96908510721286,3.64246452
102,C(C=O)C(F)(F)F,0.22868,-2.0594667398862048,16.736,3,0.384324082,1.5644506509664935,-1.953851272052795,1.5644506509664935,5.496762795558306,65.07049634349661,-1.602059991
103,C(CBr)Br,0.2502,-1.6100720334176324,27.587999999999994,2,0.36698874,1.0345224838248486,-1.6345162219443488,3.277460299317654,9.114875109822039,6.0,0.008600172
104,C(CC(F)(F)F)CO,0.34344,-2.067129814372524,22.374799999999997,3,0.383171433,2.2367278661239522,-2.012909611343551,2.2367278661239522,4.472754875131939,58.793987519471216,-1.30980392
105,C(CCl)Cl,0.30045,-1.6333332020997315,21.439999999999994,2,0.397082481,1.0345224838248486,-1.6285173297622821,2.1035674514745457,6.254551773714507,6.0,0.113943352
106,C(CF)F,0.39959,-1.6791192391428795,11.950000000000003,2,0.435398311,1.0345224838248486,-1.6136857351814955,1.0345224838248486,4.0892174163842325,6.0,1.33243846
107,C(CF)O,0.35533,-1.7734315142224322,13.060800000000002,1,0.385083898,1.0834890079292623,-1.6587392173240028,1.0834890079292623,4.076056628353018,8.0,-0.27572413
108,C(Cl)(Cl)(Cl)Cl,0.2469,-1.806036919704575,26.143,4,0.40852219,0.7559289460184544,-1.9056260716405768,2.2677868380553634,6.831492563030869,19.11941547876375,3.342422681
109,C(Cl)(Cl)Cl,0.26614,-1.5459262923561323,21.346999999999998,3,0.4066057,0.6546536707079772,-1.6897836944317723,1.9639610121239315,6.625347315474263,8.0,1.31386722
110,C(Cl)Br,0.25797,-1.2139135319598782,19.647,2,0.38953315,0.5345224838248487,-1.4249202606476712,2.1905138753960998,9.092905654770304,4.754887502163468,0.675778342
111,C(CO)C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,0.30746,-2.660100164721753,37.545800000000014,11,0.37929881,4.24858575816086,-2.3659306854296003,4.24858575816086,5.055203478079236,317.4956154916877,-0.273272791
112,C(CO)C(F)(F)F,0.35691,-2.0819702892441887,17.757800000000003,3,0.390538614,1.7367278661239525,-1.9917744524557244,1.7367278661239525,4.444693927899532,48.63193444574935,-0.207608311
113,C(CO)C(F)(F)F,0.34552,-2.0819702892441887,17.757800000000003,3,0.392805693,1.7367278661239525,-1.9917744524557244,1.7367278661239525,4.444693927899532,48.63193444574935,-0.207608311
114,C(F)(Cl)(Cl)Cl,0.26004,-1.8349284903130545,21.398,4,0.41484832,0.7559289460184544,-1.885378139536681,1.889822365046136,6.656335703923817,22.364527976600282,3.794488047
115,C(F)(Cl)Cl,0.29459,-1.5830761265522182,16.602,3,0.4224273,0.6546536707079772,-1.6768959063790034,1.5275252316519468,6.424724450509985,10.75488750216347,2.204119983
116,C(F)(F)(Br)Br,0.22834,-1.8356278954429512,22.801,4,0.39051257,0.7559289460184544,-1.879971939991835,2.3419254851331583,9.247118180383731,23.11941547876375,2.334453751
117,C(F)(F)(Cl)Br,0.24998,-1.849289979721126,19.727,4,0.41649533,0.7559289460184544,-1.87273024127861,1.9268916885850338,9.099315347268089,25.11941547876375,3.285557309
118,C(F)(F)(Cl)Cl,0.29035,-1.862732576676096,16.653,4,0.43204057,0.7559289460184544,-1.8652577077182773,1.5118578920369088,6.452046741570871,23.11941547876375,4.096910013
119,C(F)(F)(F)Br,0.28013,-1.876553372486501,14.982,4,0.42967108,0.7559289460184544,-1.8519840822435565,1.5489272155758065,9.094143353529574,22.364527976600282,3.857332496
120,C(F)(F)(F)Cl,0.34132,-1.8895513702872455,11.908,4,0.46668444,0.7559289460184544,-1.8432761381917169,1.1338934190276815,6.2005987391780115,22.364527976600282,4.209515015
121,C(F)(F)(F)F,0.60756,-1.9154722207967987,7.163,4,0.552391616,0.7559289460184544,-1.8187869062239788,0.7559289460184544,4.0787998053573,19.11941547876375,3.868056362
122,C(F)(F)(F)S(F)(F)(F)(F)F,0.31006,-2.266242518670972,19.186000000000003,8,0.48719863,1.5425876045562317,-2.4031231406450853,3.493869394641013,8.459922812157707,139.3579162779442,4.267171728
123,C(F)(F)Br,0.28107,-1.601630985462839,14.931,3,0.41649525,0.6546536707079772,-1.6689687995022173,1.5703291994996664,9.090769874718454,10.75488750216347,2.579783597
124,C(F)(F)Cl,0.33856,-1.6182378700177458,11.857000000000001,3,0.450858998,0.6546536707079772,-1.6639691077500256,1.091089451179962,6.1805680514698516,10.75488750216347,3.292256071
125,C(F)(F)F,0.50549,-1.6516705323481489,7.112,3,0.513551347,0.6546536707079772,-1.6506119499743228,0.6546536707079772,3.832804957374738,8.0,4.164352856
126,C(F)F,0.44412,-1.3394464207992787,7.083,2,0.462914254,0.5345224838248487,-1.4236876591035266,0.5345224838248487,3.5667518149156985,2.7548875021634682,2.887054378
127,C(OC(C(F)(F)F)C(F)(F)F)F,0.38006,-2.4368204011813375,22.958,7,0.414008661,2.5028823251200603,-2.2071994467914102,2.5028823251200603,4.746733428290293,121.32225214810833,2.290034611
128,C(OC(C(OC(C(OC(C(OC(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.40549,-2.586760467299656,46.02999999999998,16,0.42209997,5.586807791181952,-2.338335251543709,5.586807791181952,4.777045939483573,472.7736377748582,3.728353782
129,C(OC(C(OC(C(OC(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.40972,-2.5525134858971206,35.05100000000001,12,0.42972064,4.172630554699635,-2.309697766266773,4.172630554699635,4.740930793938751,309.8844652408676,3.758154622
130,C(OC(C(OC(OC(F)F)(F)F)(F)F)(F)F)(F)F,0.42476,-2.5007139622341445,30.104,10,0.44077539,3.5446660816904085,-2.2733552563147295,3.5446660816904085,4.668266123255405,266.238766217315,3.507855872
131,C(OC(F)(F)F)(F)F,0.47323,-2.1629718219852587,13.144000000000002,5,0.47727846,1.4432088956132731,-2.028682681760963,1.4432088956132731,4.216540679999986,65.31914641898351,4.155336037
132,C(OC(F)F)(F)F,0.46523,-2.034816011612287,13.093000000000002,4,0.46223828,1.3442760817350012,-1.9545167102345655,1.3442760817350012,4.077007103789407,38.95445336320969,3.821513528
133,C=C(C(F)(F)F)C(F)(F)F,0.27334,-2.242532961590986,21.25,6,0.420570216,1.9874468096209557,-2.1151925974631993,1.9874468096209557,5.086365996338322,120.80725598781608,-0.42365865
134,C=C(C(F)(F)F)F,0.27158,-2.0513296452117706,16.303,4,0.395688332,1.3594823366117283,-1.9671897961999234,1.3594823366117283,4.883185920058583,79.42592196522058,-0.300162274
