index,SMILE,IP,MinAbsEStateIndex,FpDensityMorgan3,FractionCSP3,FpDensityMorgan2,Chi2v,MinPartialCharge,qed,MinAbsPartialCharge,SlogP_VSA6,LF
0,C(C(F)(F)F)(C(F)(F)F)O,0.423468673,4.2361111111111125,1.0,1.0,1.0,1.4857615563239732,-0.3765619053384419,0.5427331254389619,0.3765619053384419,0.0,0.278753601
1,C(=C/F)\C(C(F)(F)F)(C(F)(F)F)F,0.381240875,1.1379166666666674,1.0769230769230769,0.6,1.0,1.9999392786391008,-0.21875844090328136,0.5871354807043392,0.21875844090328136,12.40580956301666,-0.476253533
2,C(C(C(F)(F)F)(F)F)(Cl)Cl,0.41355199,2.7569444444444455,1.2,1.0,1.2,2.5176864941752854,-0.19318146567143005,0.45341180918742213,0.19318146567143005,0.0,0.278753601
3,C(C(F)(F)Cl)(F)F,0.441424512,3.7692901234567913,1.4285714285714286,1.0,1.4285714285714286,1.3462412257102054,-0.2019924681966373,0.3824913854914838,0.2019924681966373,0.0,1.230448921
4,C(C(F)(F)F)(OC(F)F)Cl,0.42667495,2.9216820987654324,1.7,1.0,1.6,1.6507872917510102,-0.29354423837879684,0.4728712952679373,0.29354423837879684,0.0,0.544068044
5,C(C(OC(F)F)(F)F)(F)Cl,0.42450555,2.525462962962963,1.7,1.0,1.6,1.6241764533060352,-0.25447272008479,0.48329409286155045,0.25447272008479,0.0,0.645422269
6,C(C(OC(OC(F)(F)F)(F)F)(F)F)(C(F)(F)F)(OC(F)(F)F)F,0.43546974,1.3937308673469389,1.0434782608695652,1.0,0.782608695652174,3.27082965726316,-0.23800782309299984,0.5165751014110705,0.23800782309299984,0.0,2.903089987
7,C(Cl)Cl,0.414567615,0.19444444444444464,1.3333333333333333,1.0,1.3333333333333333,0.9091372900969896,-0.10913232990050524,0.3899621067041534,0.09670639037649198,0.0,-0.307153081
8,C(CO)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.37694324,2.0700941279289484,1.0,1.0,0.72,4.547779834123849,-0.39614042090829676,0.5971802928745348,0.39614042090829676,0.0,-1.327902142
9,C(F)Cl,0.422616145,0.7777777777777777,2.0,1.0,2.0,0.3030457633656632,-0.23364725235230419,0.3737343558390309,0.16289509380489306,0.0,0.079181246
10,C(OC(OC(F)F)(F)F)(F)F,0.452414836,2.3795833333333336,1.2727272727272727,1.0,1.0909090909090908,1.220376407399968,-0.232108811196624,0.4910393395339294,0.232108811196624,0.0,1.423245874
11,CC(F)(Cl)Cl,0.40817283,1.0516975308641978,1.6,1.0,1.6,2.3943042269608665,-0.2084810996624261,0.4259022902552142,0.2084810996624261,0.0,0.973127854
12,C(#N)C(C(F)(F)F)(C(F)(F)F)F,0.460778278,0.4583333333333335,1.0,0.75,1.0,1.765794891717179,-0.2065484826463138,0.5438935986765442,0.2065484826463138,0.0,1.537819095
13,C(=C(/C(F)(F)F)\F)(\C(F)(F)F)/F,0.401892614,3.768518518518518,0.8333333333333334,0.5,0.75,1.6234826110944962,-0.1984873246943009,0.5261212634391369,0.1984873246943009,11.653747758836332,-1.070581074
14,C(=C(/C(F)(F)F)\F)\F,0.387456284,1.125,1.625,0.3333333333333333,1.625,0.9548056448283403,-0.2123306708300582,0.44344728909575376,0.2123306708300582,12.156663335600946,-1.568636236
15,C(=C(/F)\Cl)(\F)/Cl,0.34915741,1.5030864197530855,1.1666666666666667,0.0,1.1666666666666667,1.184500374589883,-0.18921963719657012,0.47571065063195817,0.18921963719657012,10.57211140292499,-1.721246399
16,C(=C(\C(F)(F)F)/F)\F,0.38680363,1.125,1.625,0.3333333333333333,1.625,0.9548056448283403,-0.2123306708300582,0.44344728909575376,0.2123306708300582,12.156663335600946,-1.795880017
17,C(=C(Cl)Cl)(Cl)Cl,0.34069019,0.09876543209876476,0.8333333333333334,0.0,0.8333333333333334,2.4196077047419675,-0.06822089663600672,0.5179764020153201,0.06822089663600672,8.982936348315855,-0.521433504
18,C(=C(Cl)Cl)(F)F,0.34990958,0.9629629629629626,1.3333333333333333,0.0,1.3333333333333333,1.4702146603041688,-0.17065329833011306,0.47571065063195817,0.17065329833011306,10.572111402924993,-2.22184875
19,C(=C(Cl)Cl)Cl,0.34557732,0.08950617283950679,1.6,0.0,1.6,1.6248376489191085,-0.0903590844896965,0.4737750586148194,0.0903590844896965,10.02667010303614,-1.823908741
20,C(=C(F)F)(C(=C(F)F)F)F,0.322808574,2.8194444444444438,0.8,0.0,0.7,1.1487860888755972,-0.19754887657137363,0.40998695990753725,0.19754887657137363,23.815034216370464,-2.522878745
21,C(=C(F)F)(C(C(F)(F)F)(F)F)F,0.382938944,3.6830324074074072,1.1666666666666667,0.5,1.0833333333333333,1.6465451579182315,-0.19873053259141205,0.5695133913062662,0.19873053259141205,11.90751710818523,-1.795880017
22,C(=C(F)F)(C(C(F)(F)F)(F)F)F,0.381971942,3.6830324074074072,1.1666666666666667,0.5,1.0833333333333333,1.6465451579182315,-0.19873053259141205,0.5695133913062662,0.19873053259141205,11.90751710818523,-1.795880017
23,C(=C(F)F)(C(F)(F)F)F,0.385783705,3.331018518518518,1.2222222222222223,0.3333333333333333,1.2222222222222223,1.0721521134804333,-0.19573757180923523,0.4653113245049681,0.19573757180923523,11.90751710818523,-1.823908741
24,C(=C(F)F)(F)F,0.367042484,2.9074074074074066,0.8333333333333334,0.0,0.8333333333333334,0.52082161586637,-0.16722513020004043,0.4081112544268904,0.16722513020004043,12.161286457534128,-2.522878745
25,C(=C(F)F)(OC(F)(F)F)F,0.369837428,2.162037037037037,1.5,0.3333333333333333,1.4,1.0819184856273212,-0.3743489909759737,0.4292130335586439,0.3743489909759737,12.093577449772138,-2.397940009
26,C(=C(F)F)F,0.367537859,0.75,1.6,0.0,1.6,0.39875540678256,-0.2096537393211083,0.4168058255363289,0.2096537393211083,12.410432684949845,-2.397940009
27,C(=C/Cl)\C(F)(F)F,0.380799562,0.04706790123456761,1.7142857142857142,0.3333333333333333,1.7142857142857142,1.086243689315597,-0.16672323335081776,0.4720737424715008,0.16672323335081776,11.611222035712094,-0.935542011
28,C(=C/Cl)\F,0.357129643,0.26543209876543217,2.0,0.0,2.0,0.5039526306789698,-0.21457948336204735,0.41520184119842773,0.0979330892649945,11.864991385060993,-2.301029996
29,C(=C/F)\C(F)(F)F,0.395292688,0.4791666666666665,1.5714285714285714,0.3333333333333333,1.5714285714285714,0.834267373976112,-0.2155433616748321,0.42244900321100093,0.2155433616748321,12.40580956301666,-1.283996656
30,C(=C\C(F)(F)F)\C(F)(F)F,0.418603578,0.8541666666666665,0.9,0.5,0.8,1.416558432612739,-0.16676757809424983,0.38101677762069575,0.16676757809424983,12.152040213667762,-1.13076828
31,C(=C\F)\C(F)(F)F,0.394313412,0.4791666666666665,1.5714285714285714,0.3333333333333333,1.5714285714285714,0.834267373976112,-0.2155433616748321,0.42244900321100093,0.2155433616748321,12.40580956301666,-1.568636236
32,C(=CC(F)(F)F)C(F)(F)F,0.420768808,0.8541666666666665,0.9,0.5,0.8,1.416558432612739,-0.16676757809424983,0.38101677762069575,0.16676757809424983,12.152040213667762,-0.476253533
33,C(=CCl)C(F)(F)F,0.380799567,0.04706790123456761,1.7142857142857142,0.3333333333333333,1.7142857142857142,1.086243689315597,-0.16672323335081776,0.4720737424715008,0.16672323335081776,11.611222035712094,-1.443697499
34,C(=O)(C(C(F)(F)F)(C(F)(F)F)F)C(C(F)(F)F)(F)F,0.40479327,4.9930555555555545,0.9473684210526315,0.8333333333333334,0.7894736842105263,3.055267751554555,-0.2880536632641491,0.7117613075318905,0.2880536632641491,0.0,-1.721246399
35,C(Br)(Br)Br,0.3652842,0.27083333333333326,1.0,1.0,1.0,6.680767400622813,-0.06371690512631244,0.5812778100557083,0.06371690512631244,0.0,-0.806875402
36,C(Br)Br,0.37603692,0.875,1.3333333333333333,1.0,1.3333333333333333,2.727411870290968,-0.08024865081729037,0.49009217871797,0.05878888811867264,0.0,-0.386158178
37,C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,0.42710509,7.4845153061224465,0.5,1.0,0.4,3.293090315836464,-0.19210315101369407,0.6573124695290602,0.19210315101369407,0.0,3.491361694
38,C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,0.42810556,5.07951388888889,1.0769230769230769,1.0,1.0,1.9958148790672414,-0.20328785426485033,0.626964147987803,0.20328785426485033,0.0,1.505149978
39,C(C(C(C(F)(F)F)(F)F)(F)F)O,0.394277715,2.556041666666667,1.25,1.0,1.1666666666666667,1.9347147416310977,-0.38985275170457306,0.6736471786433598,0.38985275170457306,0.0,-0.259637311
40,C(C(C(C(F)(F)F)F)(F)F)O,0.397771334,2.159050925925926,1.5454545454545454,1.0,1.4545454545454546,1.8233137389904406,-0.3899910801145583,0.6415154404025608,0.3899910801145583,0.0,-0.435333936
41,C(C(C(F)(F)Cl)(F)F)(F)Cl,0.41301378,3.4861111111111116,1.4,1.0,1.4,2.279293466852799,-0.2228672704969095,0.47748784418387724,0.2228672704969095,0.0,0.770852012
42,C(C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,0.43155834,7.258749999999999,0.5882352941176471,1.0,0.47058823529411764,2.7186972713986655,-0.1919601604698603,0.6732319281386244,0.1919601604698603,0.0,3.612783857
43,C(C(C(F)(F)F)(F)F)(C(F)(F)F)(F)F,0.45274427,6.966249999999999,0.5714285714285714,1.0,0.5,2.1443042269608665,-0.18880756966325,0.6139900655067855,0.18880756966325,0.0,3.414973348
44,C(C(C(F)(F)F)(F)F)(F)F,0.444128271,4.70138888888889,1.1,1.0,1.1,1.4214218346294432,-0.2031484303687869,0.5298835509469577,0.2031484303687869,0.0,1.477121255
45,C(C(C(F)(F)F)(F)F)F,0.442388325,2.697916666666667,1.2222222222222223,1.0,1.2222222222222223,1.335838435141093,-0.24407711579200675,0.5047221541678888,0.24407711579200675,0.0,1.127104798
46,C(C(C(F)(F)F)(F)F)O,0.402461134,2.197916666666667,1.3333333333333333,1.0,1.3333333333333333,1.3603216971932997,-0.38972612028425446,0.5560995305933862,0.38972612028425446,0.0,-0.326979093
47,C(C(C(F)(F)F)F)(C(C(F)(F)F)(F)F)F,0.43849431,4.894328703703705,1.1333333333333333,1.0,0.9333333333333333,2.465865423057733,-0.23677759647796628,0.6602972019047446,0.23677759647796628,0.0,1.230448921
48,C(C(C(F)(F)F)F)F,0.441109306,1.9965277777777777,1.625,1.0,1.625,1.1634523399138141,-0.24752330382550355,0.4798626577729781,0.24752330382550355,0.0,0.505149978
49,C(C(C(F)F)(F)F)F,0.425993591,2.300925925925926,1.625,1.0,1.625,1.1953589698853564,-0.24423139903187885,0.5053432251246295,0.24423139903187885,0.0,0.819543936
50,C(C(C(F)F)(F)F)O,0.391070215,1.800925925925926,1.75,1.0,1.75,1.2198422319375632,-0.3898749005888983,0.5526723816351682,0.3293870723971217,0.0,-0.59345982
51,C(C(C(F)F)(F)F)OC(F)F,0.41273935,1.9699074074074074,1.8181818181818181,1.0,1.5454545454545454,1.6333853540523997,-0.31638582177832664,0.6048073047522099,0.31638582177832664,0.0,0.544068044
52,C(C(Cl)(Cl)Cl)(F)(F)Cl,0.40493145,2.713734567901234,1.0,1.0,1.0,3.751447084103724,-0.18316506171239244,0.5309872165345898,0.18316506171239244,0.0,1.716003344
53,C(C(Cl)(Cl)Cl)(F)(F)F,0.41366938,3.145833333333333,1.0,1.0,1.0,3.276750561884825,-0.1663811571479959,0.5115647154654288,0.1663811571479959,0.0,1.740362689
54,C(C(Cl)Cl)(F)F,0.41720555,1.5370370370370374,1.3333333333333333,1.0,1.3333333333333333,1.8326913602002621,-0.20740518153243326,0.48231871701072077,0.20740518153243326,0.0,0.049218023
55,C(C(F)(Cl)Cl)(Cl)Cl,0.39143845,1.3927469135802475,1.4285714285714286,1.0,1.4285714285714286,3.2321523469206124,-0.20497860044433855,0.5517222262770488,0.20497860044433855,0.0,0.045322979
56,C(C(F)(Cl)Cl)(F)(Cl)Cl,0.40716058,3.2538580246913575,0.875,1.0,0.875,3.465732798389438,-0.20133238065179046,0.5747806664420663,0.20133238065179046,0.0,1.803457116
57,C(C(F)(Cl)Cl)(F)(F)Cl,0.42040364,3.6859567901234565,1.0,1.0,1.0,2.7053219904562535,-0.19948948791832122,0.553756284383752,0.19948948791832122,0.0,1.968482949
58,C(C(F)(Cl)Cl)(F)(F)F,0.43024014,3.983024691358024,1.0,1.0,1.0,2.2306254682373545,-0.19752325294116724,0.38773462792098856,0.19752325294116724,0.0,2.021189299
59,C(C(F)(Cl)Cl)(F)Cl,0.40705172,2.36496913580247,1.5714285714285714,1.0,1.5714285714285714,2.519062797379226,-0.22343516312045322,0.5294245217189981,0.22343516312045322,0.0,0.491361694
60,C(C(F)(Cl)Cl)F,0.41872573,1.3649691358024691,1.6666666666666667,1.0,1.6666666666666667,2.1404735390782688,-0.24470399391618006,0.4823281568274539,0.24470399391618006,0.0,0.612783857
61,C(C(F)(F)Br)(F)(F)Br,0.39522931,1.46875,0.875,1.0,0.875,2.9874170998445164,-0.18560241483439555,0.5017968617223129,0.18560241483439555,0.0,1.447158031
62,C(C(F)(F)Cl)(Cl)Cl,0.40670093,1.8248456790123464,1.4285714285714286,1.0,1.4285714285714286,2.4425058852560486,-0.18503779165457987,0.5294245217189981,0.18503779165457987,0.0,-0.045757491
63,C(C(F)(F)Cl)(F)(F)Cl,0.43310363,3.793981481481481,0.875,1.0,0.875,1.9449111825230676,-0.17946189757442443,0.4197132452520627,0.17946189757442443,0.0,2.276461804
64,C(C(F)(F)Cl)(F)(F)F,0.4565249,3.550925925925925,1.0,1.0,1.0,1.4702146603041686,-0.17746371261313834,0.37122827303074213,0.17746371261313834,0.0,2.73239376
65,C(C(F)(F)Cl)(F)Cl,0.42559675,2.797067901234569,1.5714285714285714,1.0,1.5714285714285714,1.7294163357146624,-0.22164804560577991,0.5067864119793105,0.22164804560577991,0.0,0.602059991
66,C(C(F)(F)F)(C(F)(F)F)(F)F,0.465475764,6.578125,0.6363636363636364,1.0,0.6363636363636364,1.5699111825230678,-0.18606141550217656,0.5123885421431201,0.18606141550217656,0.0,3.414973348
67,C(C(F)(F)F)(C(F)(F)F)F,0.46716158,4.7361111111111125,0.9,1.0,0.9,1.4457805568128046,-0.22720822226482168,0.4895108834234751,0.22720822226482168,0.0,1.556302501
68,C(C(F)(F)F)(Cl)Br,0.40330832,1.9166666666666672,1.5714285714285714,1.0,1.5714285714285714,2.721600380221818,-0.16838743541161363,0.523506439863351,0.16838743541161363,0.0,0.0
69,C(C(F)(F)F)(Cl)Cl,0.42308256,2.2569444444444455,1.2857142857142858,1.0,1.2857142857142858,1.9385737093057702,-0.1680013943449183,0.46817355207887645,0.1680013943449183,0.0,0.113943352
70,C(C(F)(F)F)(F)(F)F,0.494092245,6.0625,0.625,1.0,0.625,0.9955181380852692,-0.16247224502605678,0.4494104524188936,0.16247224502605678,0.0,4.0
71,C(C(F)(F)F)(F)Br,0.41074817,1.703125,1.4285714285714286,1.0,1.4285714285714286,1.6462396328429685,-0.22483498851692799,0.3966205033876523,0.22483498851692799,0.0,0.462397998
72,C(C(F)(F)F)(F)Cl,0.434961906,3.229166666666668,1.4285714285714286,1.0,1.4285714285714286,1.2254841597643844,-0.21974300835742627,0.35334876064599263,0.21974300835742627,0.0,0.770852012
73,C(C(F)(F)F)(F)F,0.466143167,4.20138888888889,1.1428571428571428,1.0,1.1428571428571428,0.8423090497599275,-0.20005386012180168,0.4274299240598743,0.20005386012180168,0.0,1.477121255
74,C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F,0.44524624,1.798541666666667,1.2941176470588236,1.0,1.0588235294117647,2.564439179782366,-0.27171265211865553,0.7194741168571234,0.27171265211865553,0.0,1.773786445
75,C(C(F)(F)F)(OC(F)(F)F)F,0.463875284,2.010416666666667,1.3636363636363635,1.0,1.2727272727272727,1.4212515750195418,-0.24743252575858637,0.5709020914564944,0.24743252575858637,0.0,1.738780558
76,C(C(F)(F)F)(OC(F)F)F,0.449640889,2.4895833333333335,1.5,1.0,1.4,1.254395240240068,-0.2794569037876448,0.5732475481548114,0.2794569037876448,0.0,1.149219113
77,C(C(F)(F)F)Br,0.40375793,0.9166666666666665,1.5,1.0,1.5,1.309542651983764,-0.17016544196179476,0.47832900637313774,0.17016544196179476,0.0,0.505149978
78,C(C(F)(F)F)C(F)(F)F,0.475636481,2.708333333333333,0.8888888888888888,1.0,0.8888888888888888,1.4071318496053382,-0.17076985389678118,0.4675163824708429,0.17076985389678118,0.0,2.328379603
79,C(C(F)(F)F)Cl,0.431566028,1.2569444444444442,1.5,1.0,1.5,1.0160694400229873,-0.1697334921102328,0.42559296032518934,0.1697334921102328,0.0,0.662757832
80,C(C(F)(F)F)F,0.465805406,2.2291666666666665,1.3333333333333333,1.0,1.3333333333333333,0.7488081981105629,-0.24112655579497494,0.40653794072819166,0.24112655579497494,0.0,1.146128036
81,C(C(F)(F)F)O,0.41202365,1.7291666666666665,1.5,1.0,1.5,0.7732914601627696,-0.38694577075923503,0.4706748907200954,0.38694577075923503,0.0,-0.339134522
82,C(C(F)(F)F)OC(C(F)(F)F)(F)F,0.44815765,2.375,1.3846153846153846,1.0,1.1538461538461537,1.9183880113030403,-0.3036626424050345,0.6471636236161262,0.3036626424050345,0.0,0.875061263
83,C(C(F)(F)F)OC(C(F)F)(F)F,0.434114265,2.398472222222222,1.6666666666666667,1.0,1.4166666666666667,1.7663501536938022,-0.30640043010911366,0.6353597676139614,0.30640043010911366,0.0,0.785329835
84,C(C(F)(F)F)OC(F)(F)F,0.450522174,2.295138888888889,1.4,1.0,1.3,1.3495934509780156,-0.2823571672562909,0.544353304875439,0.2823571672562909,0.0,0.875061263
85,C(C(F)(F)F)OC(F)F,0.434837613,1.898148148148148,1.7777777777777777,1.0,1.6666666666666667,1.1868345822776059,-0.3134129402883151,0.54494256749566,0.3134129402883151,0.0,0.740362689
86,C(C(F)(F)F)OC=O,0.41206806,0.2425694444444444,2.125,0.6666666666666666,2.0,1.0224068559833617,-0.45824023043308826,0.5119681281846417,0.4221728098798466,0.0,-0.261219442
87,C(C(F)(F)F)OCC(F)(F)F,0.390384198,1.8685416666666663,1.1818181818181819,1.0,1.0,1.7231544341354457,-0.36262098617806054,0.5940785896706683,0.36262098617806054,0.0,-0.454692884
88,C(C(F)Cl)(F)Cl,0.41812027,2.0771604938271606,1.1666666666666667,1.0,1.1666666666666667,1.5027769206633332,-0.2252881898271995,0.48231871701072077,0.21775979934933204,0.0,0.238046103
89,C(C(F)Cl)Cl,0.40263497,0.12345679012345667,2.0,1.0,2.0,1.3275592793873403,-0.22866993322798532,0.45870060220187114,0.18642508417303855,0.0,0.056904851
