index,SMILE,IP,FractionCSP3,SMR_VSA7,SlogP_VSA6,HomoLumoGap,MinAbsEStateIndex,FpDensityMorgan3,PEOE_VSA12,FpDensityMorgan2,FpDensityMorgan1,LF
74,C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F,0.44524624,1.0,0.0,0.0,0.41176,1.798541666666667,1.2941176470588236,0.0,1.0588235294117647,0.7058823529411765,1.773786445
75,C(C(F)(F)F)(OC(F)(F)F)F,0.463875284,1.0,0.0,0.0,0.44026,2.010416666666667,1.3636363636363635,0.0,1.2727272727272727,0.9090909090909091,1.738780558
76,C(C(F)(F)F)(OC(F)F)F,0.449640889,1.0,0.0,0.0,0.43354,2.4895833333333335,1.5,0.0,1.4,1.0,1.149219113
77,C(C(F)(F)F)Br,0.40375793,1.0,0.0,0.0,0.27033,0.9166666666666665,1.5,0.0,1.5,1.3333333333333333,0.505149978
78,C(C(F)(F)F)C(F)(F)F,0.475636481,1.0,0.0,0.0,0.46237,2.708333333333333,0.8888888888888888,0.0,0.8888888888888888,0.6666666666666666,2.328379603
79,C(C(F)(F)F)Cl,0.431566028,1.0,0.0,0.0,0.31956,1.2569444444444442,1.5,0.0,1.5,1.3333333333333333,0.662757832
80,C(C(F)(F)F)F,0.465805406,1.0,0.0,0.0,0.42813,2.2291666666666665,1.3333333333333333,0.0,1.3333333333333333,1.1666666666666667,1.146128036
81,C(C(F)(F)F)O,0.41202365,1.0,0.0,0.0,0.36098,1.7291666666666665,1.5,0.0,1.5,1.3333333333333333,-0.339134522
82,C(C(F)(F)F)OC(C(F)(F)F)(F)F,0.44815765,1.0,0.0,0.0,0.40703,2.375,1.3846153846153846,0.0,1.1538461538461537,0.7692307692307693,0.875061263
83,C(C(F)(F)F)OC(C(F)F)(F)F,0.434114265,1.0,0.0,0.0,0.40175,2.398472222222222,1.6666666666666667,0.0,1.4166666666666667,1.0,0.785329835
84,C(C(F)(F)F)OC(F)(F)F,0.450522174,1.0,0.0,0.0,0.4162,2.295138888888889,1.4,0.0,1.3,0.9,0.875061263
85,C(C(F)(F)F)OC(F)F,0.434837613,1.0,0.0,0.0,0.41141,1.898148148148148,1.7777777777777777,0.0,1.6666666666666667,1.2222222222222223,0.740362689
86,C(C(F)(F)F)OC=O,0.41206806,0.6666666666666666,0.0,0.0,0.29053,0.2425694444444444,2.125,0.0,2.0,1.5,-0.261219442
87,C(C(F)(F)F)OCC(F)(F)F,0.390384198,1.0,0.0,0.0,0.35659,1.8685416666666663,1.1818181818181819,0.0,1.0,0.7272727272727273,-0.454692884
88,C(C(F)Cl)(F)Cl,0.41812027,1.0,0.0,0.0,0.31375,2.0771604938271606,1.1666666666666667,11.261714435109248,1.1666666666666667,1.0,0.238046103
89,C(C(F)Cl)Cl,0.40263497,1.0,0.0,0.0,0.29848,0.12345679012345667,2.0,0.0,2.0,1.8,0.056904851
90,C(C(F)F)(C(F)(F)F)F,0.446135934,1.0,0.0,0.0,0.39126,3.981481481481482,1.2222222222222223,0.0,1.2222222222222223,0.8888888888888888,1.056904851
91,C(C(F)F)(C(F)F)F,0.425523876,1.0,0.0,0.0,0.38037,3.2962962962962967,0.875,6.1716753955102925,0.875,0.625,0.505149978
92,C(C(F)F)(F)F,0.44230689,1.0,0.0,0.0,0.41552,3.481481481481482,0.8333333333333334,0.0,0.8333333333333334,0.6666666666666666,1.0
93,C(C(F)F)(OC(F)(F)F)F,0.443660829,1.0,0.0,0.0,0.41983,2.2824074074074074,1.5,0.0,1.4,1.0,0.954242509
94,C(C(F)F)C(F)(F)F,0.448141575,1.0,0.0,0.0,0.43359,2.0069444444444446,1.5,6.425444744859191,1.5,1.125,0.897627091
