SMILE,LF,GWP,IP,EA,HomoLumoGap
C(C(F)(F)Cl)(Cl)Cl ,-0.045757491,1.751279104,0.40670093,-0.04148207,0.28432
C(C(F)(F)Cl)(F)(F)Cl,2.276461804,3.974511693,0.43310363,-0.0657485,0.32408
C(C(F)(F)Cl)(F)(F)F ,2.73239376,3.982271233,0.4565249,-0.08459308,0.33644
C(C(F)(F)Cl)(F)Cl ,0.602059991,2.596597096,0.42559675,-0.0689971,0.31698
C(C(F)(F)F)(C(F)(F)F)(F)F  ,3.414973348,3.968015714,0.465475764,-0.145627378,0.42021
C(C(F)(F)F)(C(F)(F)F)F,1.556302501,3.556302501,0.46716158,-0.135396352,0.41225
C(C(F)(F)F)(Cl)Br ,0,1.653212514,0.40330832,-0.03906782,0.25572
C(C(F)(F)F)(Cl)Cl ,0.113943352,1.95616843,0.42308256,-0.05666273,0.29568
C(C(F)(F)F)(F)(F)F,4,4.093421685,0.494092245,-0.191544565,0.47485
C(C(F)(F)F)(F)Br  ,0.462397998,2.303196057,0.41074817,-0.06402068,0.27328
C(C(F)(F)F)(F)Cl  ,0.770852012,2.775974331,0.434961906,-0.090618587,0.32506
C(C(F)(F)F)(F)F,1.477121255,3.572871602,0.466143167,-0.182417438,0.43772
C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F,1.773786445,3.821513528,0.44524624,-0.11831992,0.41176
C(C(F)(F)F)(OC(F)(F)F)F,1.738780558,3.876217841,0.463875284,-0.158402893,0.44026
C(C(F)(F)F)(OC(F)F)F,1.149219113,3.413299764,0.449640889,-0.162287933,0.43354
C(C(F)(F)F)Br ,0.505149978,2.247973266,0.40375793,-0.07171444,0.27033
C(C(F)(F)F)C(F)(F)F,2.328379603,3.939019776,0.475636481,-0.161763272,0.46237
C(C(F)(F)F)Cl  ,0.662757832,2.588831726,0.431566028,-0.096790179,0.31956
C(C(F)(F)F)F,1.146128036,3.184691431,0.465805406,-0.167768408,0.42813
C(C(F)(F)F)O,-0.339134522,1.552668216,0.41202365,-0.151136567,0.36098
C(C(F)(F)F)OC(C(F)(F)F)(F)F,0.875061263,3.017033339,0.44815765,-0.13980736,0.40703
C(C(F)(F)F)OC(C(F)F)(F)F,0.785329835,2.991226076,0.434114265,-0.137440918,0.40175
C(C(F)(F)F)OC(F)(F)F,0.875061263,3.041392685,0.450522174,-0.159293268,0.4162
C(C(F)(F)F)OC(F)F,0.740362689,2.943494516,0.434837613,-0.164974143,0.41141
C(C(F)(F)F)OC=O,-0.261219442,1.738780558,0.41206806,-0.091208606,0.29053
C(C(F)(F)F)OCC(F)(F)F,-0.454692884,1.387389826,0.390384198,-0.137943535,0.35659
C(C(F)Cl)(F)Cl  ,0.238046103,2.086359831,0.41812027,-0.07325918,0.31375
C(C(F)Cl)Cl ,0.056904851,1.668385917,0.40263497,-0.06753868,0.29848
C(C(F)F)(C(F)(F)F)F,1.056904851,3.176091259,0.446135934,-0.135497046,0.39126
C(C(F)F)(C(F)F)F,0.505149978,2.40654018,0.425523876,-0.137884465,0.38037
C(C(F)F)(F)F,1,3.100370545,0.44230689,-0.180812396,0.41552
C(C(F)F)(OC(F)(F)F)F,0.954242509,3.100370545,0.443660829,-0.158507004,0.41983
C(C(F)F)C(F)(F)F,0.897627091,2.983175072,0.448141575,-0.168001068,0.43359
