-2870 5.63636e-06
-2760 3.6e-05
-2650 9.87273e-05
-2540 0.000208273
-2430 0.000379
-2320 0.000492455
-2210 0.000550091
-2100 0.000558818
-1990 0.000566091
-1880 0.000559273
-1770 0.000572818
-1660 0.000570364
-1550 0.000604
-1440 0.000657
-1330 0.000473727
-1220 0.000378091
-1110 0.000359455
-1000 0.000347455
-890 0.000352455
-780 0.000307273
-670 0.000279545
-560 0.000247091
-450 0.000188455
-340 0.000156455
-230 0.000100455
-120 2.6e-05
-10 6.36364e-06
100 2.72727e-06
210 2.63636e-06
320 1.36364e-06
430 1.18182e-06
540 8.18182e-07
650 2.72727e-07
760 1.81818e-07
870 1.81818e-07
980 9.09091e-08
1090 9.09091e-08
