P,q
0.0001,0.0128218574
0.001,0.160321347
0.01,0.8312837516
0.05,2.1964168927
0.1,3.1969068068
0.5,6.2585680463
1.0,7.1865740371
5.0,8.2172415209
10.0,8.4980613741
15.0,8.6940567477
