name,ions,mean,N>500,big_diff,None,ions_n
FENVOL_charged,C5H12N,-0.515289941,,,,
HAFWUI_charged,C6H11N2,-0.249921269,,,,
HAFWUI01_charged,C6H11N2,-0.246838816,,,,
PEJPAX_charged,C6H14N,-0.24767393,,,,
MITSIS_charged,C6H15N,-0.416804843,,,,
PUWDEQ_charged,C6H16N,-0.191571679,,,,
XOJXAW_charged,C6H16N,-0.502414637,,,,
MODMOH_charged,C6H4N,-0.165691708,,,,
MODPEA_charged,C6H4N,-0.165654518,,,,
EPUTUF_charged,CF3O3S,-0.439356156,,,,
EPUVAN_charged,CF3O3S,-0.439264606,,,,
FITHAS_charged,CF3O3S,-0.420439468,,,,
GIWBEU_charged,CF3O3S,-0.320986546,,,,
GIWBIY_charged,CF3O3S,-0.36614401,,,,
OKIKEZ_charged,CF3O3S,-0.352058164,,,,
TIVXOM_charged,CF3O3S,-0.293398244,,,,
VEFJOG_charged,CF3O3S,-0.266615642,,,,
BIMDOR_charged,CH5N,-0.677671501,,,,
GECRAI_charged,CH5N,-0.726865749,,,,
IFUDES_charged,CH5N,-0.518213038,,,,
IRAYUW_charged,CH5N,-0.762299268,,,,
NOQLOV_charged,CH5N,-0.481368218,,,,
TOVJAP_charged,CH5N,-0.755367309,,,,
ADOBAX_charged,Cl,-0.860646904,,,,
ADOBEB_charged,Cl,-0.868734479,,,,
ADOBOL_charged,Cl,-0.958959892,,,,
ELOFIU_charged,Cl,-0.496227398,,,,
HETZUC_charged,Cl,-0.899348736,,,,
KEBDIG_charged,Cl,-0.546624005,,,,
KEHGAH_charged,Cl,-0.695713759,,,,
PEJMUN_charged,Cl,-0.459130235,,,,
PUNSUN_charged,Cl,-0.597416753,,,,
QULKIS_charged,Cl,-0.344546169,,,,
RAXROX_charged,Cl,-0.735395968,,,,
SINXET_charged,Cl,-0.257367633,,,,
VEHNAZ_charged,Cl,-0.438725125,,,,
VEQBOJ_charged,Cl,-0.264974241,,,,
VEQBUP_charged,Cl,-0.155903297,,,,
VEQCAW_charged,Cl,-0.144187732,,,,
VEQCEA_charged,Cl,-0.149907317,,,,
WELTUD_charged,Cl,-0.711873385,,,,
XOTKIA_charged,Cl,-0.453974965,,,,
NEVQAH_charged,Cl4Hg,-0.534162381,,,,
CAWDOU_charged,ClO4,-0.49728546,,,,
CAWDOU01_charged,ClO4,-0.2953861,,,,
EWEWUZ_charged,ClO4,-0.444439538,,,,
FAZRAA_charged,ClO4,-0.13482996,,,,
FEDJUU_charged,ClO4,-0.494504041,,,,
FOQSUA_charged,ClO4,-0.134865475,,,,
GATJIV_charged,ClO4,-0.427853763,,,,
HUZFIS_charged,ClO4,-0.148652759,,,,
HUZFOY_charged,ClO4,-0.163235778,,,,
IJISOK_charged,ClO4,-0.41465411,,,,
IPICUG_charged,ClO4,-0.118099587,,,,
IPIDAN_charged,ClO4,-0.117925174,,,,
ITIWIS_charged,ClO4,-0.075521673,,,,
ITIWOY_charged,ClO4,-0.072778912,,,,
ITIWUE_charged,ClO4,-0.06948753,,,,
IXEDOE_charged,ClO4,-0.504347479,,,,
KIBXUP_charged,ClO4,-0.129847123,,,,
LAGDAA_charged,ClO4,-0.461406121,,,,
NABCEA_charged,ClO4,-0.198377848,,,,
NIGHOA_charged,ClO4,-0.108113423,,,,
OKIKAV_charged,ClO4,-0.149779853,,,,
OKITIM_charged,ClO4,-0.046833558,,,,
OKITIM01_charged,ClO4,-0.081024715,,,,
OKITIM02_charged,ClO4,-0.085320229,,,,
OKIVAG_charged,ClO4,-0.07154887,,,,
OKIVAG01_charged,ClO4,-0.069065051,,,,
OKIVIO_charged,ClO4,-0.061298041,,,,
OKIVIO01_charged,ClO4,-0.059746719,,,,
OKIVIO02_charged,ClO4,-0.05834029,,,,
OKIWEL_charged,ClO4,-0.07182594,,,,
OKIWEL01_charged,ClO4,-0.07623456,,,,
OKIWEL02_charged,ClO4,-0.087733705,,,,
