SMILE,IP,qed,FractionCSP3,SMR_VSA7,MinAbsEStateIndex,FpDensityMorgan2,BCUT2D_LOGPHI,Chi2v,HomoLumoGap,Chi0v
C(C(F)(F)F)(C(F)(F)F)O,0.423468673,0.5427331254389619,1.0,0.0,4.2361111111111125,1.0,2.320402298542501,1.4857615563239732,0.372,4.2923507027449475
C(=C/F)\C(C(F)(F)F)(C(F)(F)F)F,0.381240875,0.5871354807043392,0.6,12.40580956301666,1.1379166666666674,1.0,2.4650697447410557,1.9999392786391008,0.26959,5.678416322453068
C(C(C(F)(F)F)(F)F)(Cl)Cl,0.41355199,0.45341180918742213,1.0,0.0,2.7569444444444455,1.2,2.4106088014171245,2.5176864941752854,0.29259,5.734959472291125
