SMILE,HomoLumoGap,Chi2n,MolMR,Chi1n,BCUT2D_LOGPLOW,IP,AvgIpc,MaxPartialCharge,BCUT2D_MWHI,fr_halogen
C(C(F)(F)F)(C(F)(F)F)O,0.372,1.4857615563239732,18.1168,1.9694425779644689,-2.4126542596660494,0.423468673,1.5894951972794726,0.422901125659,19.424801448408502,6
C(=C/F)\C(C(F)(F)F)(C(F)(F)F)F,0.26959,1.9999392786391008,26.197000000000003,2.6631020136964336,-2.5104481621353467,0.381240875,1.824142155395243,0.4349206842237613,19.432652471680367,8
C(C(C(F)(F)F)(F)F)(Cl)Cl,0.29259,1.4214218346294432,26.496,1.9200220975898659,-2.414519298704478,0.41355199,1.6172521756325944,0.45572003758988056,35.53916890529147,7
