,ori_name,func_type,func_ratio,t,Y,Y_pred
0,16056N2,ori,,111,3.552634537220001,3.908315062522888
1,16056N2,ori,,231,1.4991954118013382,1.5270330905914307
2,16056N2,ori,,296,1.0603777021169662,1.1233071684837341
3,16056N2,single,half,111,2.8347591757774353,3.4536672234535226
4,16056N2,single,half,231,1.2629423215985298,1.500238060951233
5,16056N2,single,half,296,0.8899645581841469,1.1106465458869934
6,16056N2,single,all,111,2.336072862148285,2.3833184838294983
7,16056N2,single,all,231,1.1198688372969627,1.200245201587677
8,16056N2,single,all,296,0.7894043363630773,0.8801156282424927
9,16056N2,two,half,111,2.381088435649872,2.4349325299263
10,16056N2,two,half,231,1.0839544385671616,1.1235856711864471
11,16056N2,two,half,296,0.7580587938427926,0.8582566380500793
12,16056N2,two,all,111,1.7751453518867493,1.4998406171798706
13,16056N2,two,all,231,0.8568045869469644,0.7354013919830322
14,16056N2,two,all,296,0.6005183197557927,0.543116331100464
15,21091N3,ori,,111,0.4332132935523987,1.1963545083999634
16,21091N3,ori,,231,0.47116371989250183,0.5562571287155151
17,21091N3,ori,,296,0.2838729266077281,0.3758397996425628
18,21091N3,single,half,111,0.10634273290634161,0.09077519178390497
19,21091N3,single,half,231,0.1463659480214119,0.16060036420822152
20,21091N3,single,half,296,0.10191615112125871,0.110735684633255
21,21091N3,single,all,111,0.0,-0.009167015552520696
22,21091N3,single,all,231,0.0,0.1307999789714813
23,21091N3,single,all,296,0.0,0.0592352747917175
24,21091N3,two,half,111,0.0,-0.07751739025115961
25,21091N3,two,half,231,0.0,0.1047813892364502
26,21091N3,two,half,296,0.0,0.08919370174407949
27,21091N3,two,all,111,0.0,-0.01052916049957281
28,21091N3,two,all,231,0.0,-0.016333460807800293
29,21091N3,two,all,296,0.0,0.0296174883842468
30,19451N2,ori,,111,5.183322191238403,4.138234257698059
31,19451N2,ori,,231,2.158794865012169,1.6954080760478973
32,19451N2,ori,,296,1.5872399881482124,1.2254446148872375
33,19451N2,single,half,111,1.766987919807434,1.4585423469543457
34,19451N2,single,half,231,0.9172649532556534,0.8096121549606323
35,19451N2,single,half,296,0.7063524797558784,0.5962899923324585
36,19451N2,single,all,111,0.9900891780853271,0.8157984614372253
37,19451N2,single,all,231,0.5854078307747842,0.5164739787578583
38,19451N2,single,all,296,0.4516754224896431,0.4069958031177521
39,19451N2,two,half,111,0.9916587173938751,0.8454102277755737
40,19451N2,two,half,231,0.5759115368127823,0.5262885093688966
41,19451N2,two,half,296,0.41780183091759693,0.35418632626533514
42,19451N2,two,all,111,0.5063669085502625,0.4105027616024018
43,19451N2,two,all,231,0.3586349189281464,0.323894202709198
44,19451N2,two,all,296,0.2702516913414002,0.24290475249290472
45,17091N3,ori,,111,0.3177228271961212,0.3536282777786255
46,17091N3,ori,,231,0.2795797120779753,0.23909705877304083
47,17091N3,ori,,296,0.1610544705763459,0.095880091190338
48,17091N3,single,half,111,0.1636853963136673,0.05680531263351446
49,17091N3,single,half,231,0.12345802038907999,0.0956335365772248
50,17091N3,single,half,296,0.0712391999550164,0.031686007976532
51,17091N3,single,all,111,0.0972893089056015,0.014560550451278687
52,17091N3,single,all,231,0.0825919546186924,0.0751489698886872
