P,wt_e,wt_a
0.1,16.6207383,16.79513795
0.2,18.97325114,19.26391721
0.3,20.07984129,20.48677379
0.4,20.64642388,21.22775602
0.5,21.07704915,21.77464772
1,21.94353983,23.33873697
1.5,22.01061974,24.10341546
2,21.77899609,24.6275236
2.5,21.46408614,25.01021222
3,21.02878463,25.3306425
3.5,20.53778685,25.59537651
4,19.90646595,25.77792062
4.5,19.37695027,26.00413672
5,18.72973924,26.11265748
5.5,18.12194253,26.26059256
6,17.5281815,26.42256332
6.5,16.96839934,26.56037973
7,16.34064085,26.63021981
7.5,15.82185307,26.80903061
8,15.16962747,26.85440358
8.5,14.57268074,26.89692221
9,14.05414293,27.01784976
9.5,13.50148092,27.10465312
10,12.96858421,27.15308855
