P,wt_e,wt_a
0.1,21.04157687,21.50061748
0.2,28.68581181,29.60389303
0.3,33.33923194,34.56334023
0.4,36.42586077,38.10900967
0.5,38.66652061,40.80871012
1,45.33769657,49.46906205
1.5,48.3398956,54.61345059
2,49.73723663,58.30599466
2.5,50.53085052,61.24179806
3,50.58371364,63.58986422
3.5,50.16577553,65.46712915
4,49.55624916,67.15280583
4.5,48.48069866,68.5254719
5,47.4218052,69.76178149
5.5,46.30050365,70.93568298
6,45.03870506,71.81607391
6.5,43.57515507,72.64772696
7,42.21310202,73.42786341
7.5,40.89611145,74.25306235
8,39.50921818,74.85534505
8.5,38.10587289,75.44117574
9,36.87232367,76.04378895
9.5,35.50911995,76.6697612
10,34.33288348,77.17667363
