P,wt_e,wt_a
0.1,18.65347298,19.94614667
0.2,28.34861996,30.85792771
0.3,34.9273603,38.65330212
0.4,39.81238178,44.83099729
0.5,43.72332954,49.9585791
1,55.63134073,68.32995875
1.5,61.98468744,81.29875318
2,65.72241084,91.80400355
2.5,67.90250654,100.9037055
3,68.97404482,109.0469293
3.5,69.25616249,116.4007324
4,68.81541399,123.107709
4.5,67.85187327,129.367933
5,66.61121829,135.1989636
5.5,65.02943129,140.688862
6,63.23260421,145.8116412
6.5,61.27534872,150.6219127
7,59.25833826,155.2963895
7.5,57.0411489,159.5425687
8,54.891209,163.7039179
8.5,52.5904308,167.5623497
9,50.55621865,171.4592286
9.5,48.43374122,175.0397233
10,46.24206012,178.4749748
