1081,6,1,,,,,,
Number,Filename,PLD,LCD,Density,ASA_m2_cm3,AV_VF,Xe_heat,Xe_M
0,ABEXEM_clean,4.14331,4.82084,1.76082,968.791,0.494,-22.75801804,2.43137073
1,ABEXIQ_clean,4.06893,4.80529,1.7876,954.695,0.4776,-23.70737537,2.32595727
2,ABEYIR_clean,3.92183,4.69665,1.96962,879.845,0.464,-23.99034912,1.86943858
3,ABIXOZ_clean,4.0515,6.22728,1.91751,1873.93,0.5866,-15.63395808,4.35473796
4,ABULOB_clean,4.16445,4.86958,1.31921,1184.81,0.5364,-28.91920177,5.80933327
5,ACAJOF_clean,6.10482,6.86398,1.21871,1121.27,0.513,-20.42602605,3.62249042
6,ACIBOE_clean,7.03071,8.25776,1.10094,2063.01,0.6554,-20.03216892,8.14616293
7,ACUBAB_clean,4.30295,6.48174,2.30944,1238.98,0.5252,-25.91243143,2.00336702
8,ACUTOI_clean,4.5372,5.192,1.71994,820.91,0.4076,-26.2655411,2.00231298
9,ADASEF_clean,10.92309,21.62414,0.435607,1820.41,0.8462,-15.00643357,3.14E+01
10,ADAXEK_clean,4.10445,5.76724,1.26343,1305.6,0.5042,-24.88563922,4.26924762
11,ADODOO_clean,5.31331,5.9443,1.28796,1054.79,0.5256,-24.31610079,3.29083221
12,AFITEP_clean,4.09997,4.64022,1.06928,1521.04,0.5262,-27.21007149,5.48707596
13,AFUPEX_clean,4.58891,5.43312,1.38641,2204.93,0.6146,-20.1646138,6.7528936
14,ALEQIT_clean,3.96262,5.78407,1.90553,677.8,0.434,-24.73964564,1.64185782
15,ALOLIY_clean,5.12412,6.86569,1.19169,992.554,0.537,-14.86885033,3.54900456
16,ALUJEX_clean,4.42191,5.99288,1.43356,1311.29,0.5364,-22.60204068,3.92177891
17,ALUKIC_clean,6.77342,8.54387,0.56692,2883.21,0.7934,-13.01498736,26.30471322
18,ALULEZ_clean,13.37911,18.75501,0.425946,1475.35,0.8336,-11.01094794,5.96E+01
19,AMILUE_clean,11.07263,11.39418,0.982365,1253.76,0.6124,-28.1097845,6.6902698
20,AMOYOR_clean,4.48972,4.82905,1.16972,759.125,0.4596,-26.79931615,2.5116923
