,ori_name,func_type,func_ratio,t,Y,Y_pred
0,19363N2,ori,,111,20.26749086380005,18.7638897895813
1,19363N2,ori,,231,8.110867977142334,7.121937751770019
2,19363N2,ori,,296,5.893261522054672,5.317539691925049
3,19363N2,single,half,111,18.493496894836426,17.96671438217163
4,19363N2,single,half,231,9.152776300907135,8.37473487854004
5,19363N2,single,half,296,6.676351964473724,5.935200214385986
6,19363N2,single,all,111,17.625228881835938,16.134517669677738
7,19363N2,single,all,231,9.242841839790344,9.173553466796875
8,19363N2,single,all,296,6.815582036972046,6.4010419845581055
9,19363N2,two,half,111,17.955104827880863,16.285551071166992
10,19363N2,two,half,231,9.426467537879946,9.171056270599365
11,19363N2,two,half,296,6.887024939060211,6.164556980133057
12,19363N2,two,all,111,16.76118659973145,14.822641372680664
13,19363N2,two,all,231,9.142887234687805,9.42824363708496
14,19363N2,two,all,296,7.101722061634064,7.083283424377441
15,15030N2,ori,,111,20.65617275238037,19.338446140289307
16,15030N2,ori,,231,7.845348834991455,8.02742624282837
17,15030N2,ori,,296,5.4283958077430725,5.489650249481201
18,15030N2,single,half,111,14.656651496887209,16.333267211914062
19,15030N2,single,half,231,10.559099435806276,10.390804767608643
20,15030N2,single,half,296,7.689994156360626,7.394862651824951
21,15030N2,single,all,111,13.086236953735348,13.307739257812502
22,15030N2,single,all,231,10.437203884124756,10.655723571777344
23,15030N2,single,all,296,9.061598539352417,8.409493923187256
24,15030N2,two,half,111,14.566880226135252,13.461572647094727
25,15030N2,two,half,231,11.466167211532593,10.433254718780518
26,15030N2,two,half,296,8.455301284790039,7.554183006286621
27,15030N2,two,all,111,9.421318054199226,10.510980606079102
28,15030N2,two,all,231,11.388960838317871,11.044647216796877
29,15030N2,two,all,296,9.959570407867432,8.703043460845947
30,17156N2,ori,,111,10.544967174530033,16.518921852111816
31,17156N2,ori,,231,5.604403614997864,7.302199363708496
32,17156N2,ori,,296,3.5248244404792786,4.805196285247804
33,17156N2,single,half,111,9.062838554382324,11.392212867736816
34,17156N2,single,half,231,5.807014584541321,5.845343112945557
35,17156N2,single,half,296,3.692820906639099,3.8945717811584473
