index,SMILE,IP,MinAbsEStateIndex,FractionCSP3,FpDensityMorgan3,Chi2v,BCUT2D_LOGPHI,MinAbsPartialCharge,MinPartialCharge,BCUT2D_MWHI,SPS,LF
45,C(C(C(F)(F)F)(F)F)F,0.442388325,2.697916666666667,1.0,1.2222222222222223,1.335838435141093,2.346923093476261,0.24407711579200675,-0.24407711579200675,19.42927599565634,14.0,1.127104798
46,C(C(C(F)(F)F)(F)F)O,0.402461134,2.197916666666667,1.0,1.3333333333333333,1.3603216971932997,2.338065575561471,0.38972612028425446,-0.38972612028425446,19.42858370367057,14.0,-0.326979093
47,C(C(C(F)(F)F)F)(C(C(F)(F)F)(F)F)F,0.43849431,4.894328703703705,1.0,1.1333333333333333,2.465865423057733,2.434498175172428,0.23677759647796628,-0.23677759647796628,19.431932286827323,18.8,1.230448921
48,C(C(C(F)(F)F)F)F,0.441109306,1.9965277777777777,1.0,1.625,1.1634523399138141,2.2207402452616885,0.24752330382550355,-0.24752330382550355,19.417540096842945,16.125,0.505149978
49,C(C(C(F)F)(F)F)F,0.425993591,2.300925925925926,1.0,1.625,1.1953589698853564,2.217984105724609,0.24423139903187885,-0.24423139903187885,19.325492772257395,12.75,0.819543936
50,C(C(C(F)F)(F)F)O,0.391070215,1.800925925925926,1.0,1.75,1.2198422319375632,2.2032219420493453,0.3293870723971217,-0.3898749005888983,19.322411746323528,12.75,-0.59345982
51,C(C(C(F)F)(F)F)OC(F)F,0.41273935,1.9699074074074074,1.0,1.8181818181818181,1.6333853540523997,2.229595955652151,0.31638582177832664,-0.31638582177832664,19.323154018926374,13.090909090909092,0.544068044
52,C(C(Cl)(Cl)Cl)(F)(F)Cl,0.40493145,2.713734567901234,1.0,1.0,3.751447084103724,2.4416678280245043,0.18316506171239244,-0.18316506171239244,35.582804554548886,14.25,1.716003344
53,C(C(Cl)(Cl)Cl)(F)(F)F,0.41366938,3.145833333333333,1.0,1.0,3.276750561884825,2.4232523084086424,0.1663811571479959,-0.1663811571479959,35.582517234286854,14.25,1.740362689
54,C(C(Cl)Cl)(F)F,0.41720555,1.5370370370370374,1.0,1.3333333333333333,1.8326913602002621,2.105743092835505,0.20740518153243326,-0.20740518153243326,35.539167689093674,11.0,0.049218023
55,C(C(F)(Cl)Cl)(Cl)Cl,0.39143845,1.3927469135802475,1.0,1.4285714285714286,3.2321523469206124,2.3227439567162347,0.20497860044433855,-0.20497860044433855,35.54506406456512,12.857142857142858,0.045322979
56,C(C(F)(Cl)Cl)(F)(Cl)Cl,0.40716058,3.2538580246913575,1.0,0.875,3.465732798389438,2.4401539280910565,0.20133238065179046,-0.20133238065179046,35.545193284219664,14.25,1.803457116
57,C(C(F)(Cl)Cl)(F)(F)Cl,0.42040364,3.6859567901234565,1.0,1.0,2.7053219904562535,2.420074565788984,0.19948948791832122,-0.19948948791832122,35.53978294491513,14.25,1.968482949
58,C(C(F)(Cl)Cl)(F)(F)F,0.43024014,3.983024691358024,1.0,1.0,2.2306254682373545,2.4001745680922943,0.19752325294116724,-0.19752325294116724,35.53939814460362,14.25,2.021189299
59,C(C(F)(Cl)Cl)(F)Cl,0.40705172,2.36496913580247,1.0,1.5714285714285714,2.519062797379226,2.3060903387383074,0.22343516312045322,-0.22343516312045322,35.5397789142122,16.714285714285715,0.491361694
60,C(C(F)(Cl)Cl)F,0.41872573,1.3649691358024691,1.0,1.6666666666666667,2.1404735390782688,2.2116500023937586,0.24470399391618006,-0.24470399391618006,35.53939609342832,12.0,0.612783857
61,C(C(F)(F)Br)(F)(F)Br,0.39522931,1.46875,1.0,0.875,2.9874170998445164,2.4293941544892226,0.18560241483439555,-0.18560241483439555,79.91998504754596,14.25,1.447158031
62,C(C(F)(F)Cl)(Cl)Cl,0.40670093,1.8248456790123464,1.0,1.4285714285714286,2.4425058852560486,2.294107624265415,0.18503779165457987,-0.18503779165457987,35.53955352216257,12.857142857142858,-0.045757491
63,C(C(F)(F)Cl)(F)(F)Cl,0.43310363,3.793981481481481,1.0,0.875,1.9449111825230676,2.3984794817081143,0.17946189757442443,-0.17946189757442443,35.49882169611609,14.25,2.276461804
64,C(C(F)(F)Cl)(F)(F)F,0.4565249,3.550925925925925,1.0,1.0,1.4702146603041686,2.3769544868920596,0.17746371261313834,-0.17746371261313834,35.495895454154365,14.25,2.73239376
65,C(C(F)(F)Cl)(F)Cl,0.42559675,2.797067901234569,1.0,1.5714285714285714,1.7294163357146624,2.2756534976392397,0.22164804560577991,-0.22164804560577991,35.49875615309692,16.714285714285715,0.602059991
66,C(C(F)(F)F)(C(F)(F)F)(F)F,0.465475764,6.578125,1.0,0.6363636363636364,1.5699111825230678,2.4636209008745054,0.18606141550217656,-0.18606141550217656,19.450466065699977,15.272727272727273,3.414973348
67,C(C(F)(F)F)(C(F)(F)F)F,0.46716158,4.7361111111111125,1.0,0.9,1.4457805568128046,2.348021464027848,0.22720822226482168,-0.22720822226482168,19.431905590867846,14.4,1.556302501
68,C(C(F)(F)F)(Cl)Br,0.40330832,1.9166666666666672,1.0,1.5714285714285714,2.721600380221818,2.280558348603273,0.16838743541161363,-0.16838743541161363,79.91873514814836,16.714285714285715,0.0
69,C(C(F)(F)F)(Cl)Cl,0.42308256,2.2569444444444455,1.0,1.2857142857142858,1.9385737093057702,2.264874687592644,0.1680013943449183,-0.1680013943449183,35.53916871205997,12.857142857142858,0.113943352
70,C(C(F)(F)F)(F)(F)F,0.494092245,6.0625,1.0,0.625,0.9955181380852692,2.3536590509342967,0.16247224502605678,-0.16247224502605678,19.46850530838824,14.25,4.0
71,C(C(F)(F)F)(F)Br,0.41074817,1.703125,1.0,1.4285714285714286,1.6462396328429685,2.259779584294319,0.22483498851692799,-0.22483498851692799,79.91873364467328,16.714285714285715,0.462397998
72,C(C(F)(F)F)(F)Cl,0.434961906,3.229166666666668,1.0,1.4285714285714286,1.2254841597643844,2.244323380444813,0.21974300835742627,-0.21974300835742627,35.495779193755105,16.714285714285715,0.770852012
73,C(C(F)(F)F)(F)F,0.466143167,4.20138888888889,1.0,1.1428571428571428,0.8423090497599275,2.2242350393052033,0.20005386012180168,-0.20005386012180168,19.427405977581422,12.857142857142858,1.477121255
74,C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F,0.44524624,1.798541666666667,1.0,1.2941176470588236,2.564439179782366,2.479433713454099,0.27171265211865553,-0.27171265211865553,19.434441632646923,17.11764705882353,1.773786445
75,C(C(F)(F)F)(OC(F)(F)F)F,0.463875284,2.010416666666667,1.0,1.3636363636363635,1.4212515750195418,2.2920115486571975,0.24743252575858637,-0.24743252575858637,19.42831599857701,16.636363636363637,1.738780558
76,C(C(F)(F)F)(OC(F)F)F,0.449640889,2.4895833333333335,1.0,1.5,1.254395240240068,2.244883970084244,0.2794569037876448,-0.2794569037876448,19.418021396751197,15.9,1.149219113
77,C(C(F)(F)F)Br,0.40375793,0.9166666666666665,1.0,1.5,1.309542651983764,2.1561590803414625,0.17016544196179476,-0.17016544196179476,79.91872958323326,12.0,0.505149978
78,C(C(F)(F)F)C(F)(F)F,0.475636481,2.708333333333333,1.0,0.8888888888888888,1.4071318496053382,2.313129926926086,0.17076985389678118,-0.17076985389678118,19.42410049543594,14.0,2.328379603
79,C(C(F)(F)F)Cl,0.431566028,1.2569444444444442,1.0,1.5,1.0160694400229873,2.1440258012813658,0.1697334921102328,-0.1697334921102328,35.49566354483417,12.0,0.662757832
80,C(C(F)(F)F)F,0.465805406,2.2291666666666665,1.0,1.3333333333333333,0.7488081981105629,2.1289031407741197,0.24112655579497494,-0.24112655579497494,19.4169159613504,12.0,1.146128036
81,C(C(F)(F)F)O,0.41202365,1.7291666666666665,1.0,1.5,0.7732914601627696,2.1069378396320526,0.38694577075923503,-0.38694577075923503,19.413287322460963,12.0,-0.339134522
82,C(C(F)(F)F)OC(C(F)(F)F)(F)F,0.44815765,2.375,1.0,1.3846153846153846,1.9183880113030403,2.3680746610923844,0.3036626424050345,-0.3036626424050345,19.43177433890946,14.76923076923077,0.875061263
83,C(C(F)(F)F)OC(C(F)F)(F)F,0.434114265,2.398472222222222,1.0,1.6666666666666667,1.7663501536938022,2.2668669645357986,0.30640043010911366,-0.30640043010911366,19.413746793655953,14.0,0.785329835
84,C(C(F)(F)F)OC(F)(F)F,0.450522174,2.295138888888889,1.0,1.4,1.3495934509780156,2.2183467897313305,0.2823571672562909,-0.2823571672562909,19.42550886099725,13.8,0.875061263
85,C(C(F)(F)F)OC(F)F,0.434837613,1.898148148148148,1.0,1.7777777777777777,1.1868345822776059,2.1517068552868057,0.3134129402883151,-0.3134129402883151,19.413511657883905,12.666666666666666,0.740362689
86,C(C(F)(F)F)OC=O,0.41206806,0.2425694444444444,0.6666666666666666,2.125,1.0224068559833617,2.1280414329399675,0.4221728098798466,-0.45824023043308826,19.413311151264327,10.875,-0.261219442
87,C(C(F)(F)F)OCC(F)(F)F,0.390384198,1.8685416666666663,1.0,1.1818181818181819,1.7231544341354457,2.183031316869009,0.36262098617806054,-0.36262098617806054,19.417461924314246,13.636363636363637,-0.454692884
88,C(C(F)Cl)(F)Cl,0.41812027,2.0771604938271606,1.0,1.1666666666666667,1.5027769206633332,2.1023337767657364,0.21775979934933204,-0.2252881898271995,35.49868948624464,20.0,0.238046103
89,C(C(F)Cl)Cl,0.40263497,0.12345679012345667,1.0,2.0,1.3275592793873403,1.9613320319260708,0.18642508417303855,-0.22866993322798532,35.49862431082144,15.0,0.056904851
90,C(C(F)F)(C(F)(F)F)F,0.446135934,3.981481481481482,1.0,1.2222222222222223,1.2778312443178255,2.2652553999485137,0.2310209289092342,-0.2310209289092342,19.41838269464403,16.333333333333332,1.056904851
91,C(C(F)F)(C(F)F)F,0.425523876,3.2962962962962967,1.0,0.875,1.1133362555167945,2.1254744476695144,0.23479690385367372,-0.23479690385367372,19.298048385438225,12.0,0.505149978
92,C(C(F)F)(F)F,0.44230689,3.481481481481482,1.0,0.8333333333333334,0.6689098504474343,2.0368252703069194,0.20394320407041397,-0.20394320407041397,19.31870689919891,11.0,1.0
93,C(C(F)F)(OC(F)(F)F)F,0.443660829,2.2824074074074074,1.0,1.5,1.2492047964454989,2.215037457622052,0.25077223887389954,-0.25077223887389954,19.423234444377538,15.9,0.954242509
94,C(C(F)F)C(F)(F)F,0.448141575,2.0069444444444446,1.0,1.5,1.2103870321946981,2.2247375775856493,0.21015441965629553,-0.21015441965629553,19.41371597403333,12.75,0.897627091
95,C(C(F)F)F,0.437768714,1.5277777777777777,1.0,1.6,0.5453886597705079,1.8819472535410462,0.24483002165672452,-0.24483002165672452,19.285068725587664,9.6,0.556302501
96,C(C(F)F)O,0.395412296,1.0277777777777777,1.0,1.8,0.5736594956434714,1.841268753962773,0.26080596330791833,-0.3904449746090942,19.279803522155213,9.6,-0.777283529
97,C(C(F)F)OC(C(F)(F)F)(F)F,0.42061607,1.9518749999999994,1.0,1.6666666666666667,1.716624843326366,2.3581729117723733,0.30721232751595834,-0.30721232751595834,19.430218090821135,14.0,0.826074803
98,C(C(F)F)OC(C(F)F)(F)F,0.412228567,1.6970833333333335,1.0,1.8181818181818181,1.5645869857171277,2.2382941242114343,0.30995018579987615,-0.30995018579987615,19.327801332136215,13.090909090909092,0.77815125
99,C(C(F)F)OC(F)(F)F,0.421283431,1.59375,1.0,1.7777777777777777,1.1478302830013412,2.1615295288184844,0.2859068197344507,-0.2859068197344507,19.42259823464821,12.666666666666666,0.826074803
100,C(C(OC(C(F)(F)F)(F)F)(F)F)(F)F,0.44160814,1.709490740740741,1.0,1.3571428571428572,1.9790948141144808,2.412765912427526,0.2432746839973464,-0.2432746839973464,19.431114020349295,15.0,1.397940009
101,C(C(OC(F)(F)F)(F)F)(C(F)(F)F)F,0.45755003,1.685115740740741,1.0,1.3571428571428572,2.013771760842333,2.38683358171051,0.22755790904302223,-0.22755790904302223,19.428582418557447,16.928571428571427,0.230448921
102,C(C=O)C(F)(F)F,0.384324082,0.16666666666666696,0.6666666666666666,1.8571428571428572,0.9859683890529489,2.161692622226401,0.3030363718696864,-0.3030363718696864,19.413107953811227,11.285714285714286,-2.096910013
103,C(CBr)Br,0.36698874,1.0486111111111112,1.0,1.25,1.9639610121239308,1.8228633887549897,0.012858597828711611,-0.09190389857679508,79.91997558423589,7.5,-0.612610174
104,C(CC(F)(F)F)CO,0.383171433,0.19097222222222232,1.0,1.875,1.442337765497603,2.1989192904119004,0.3887092894948046,-0.39637068959195343,19.41310825626341,12.0,-1.823908741
105,C(CCl)Cl,0.397082481,0.5570987654320989,1.0,1.25,1.1338934190276815,1.745902114921952,0.035889203448099614,-0.12542343074881615,35.49855801733687,7.5,-0.647817482
106,C(CF)F,0.435398311,0.8472222222222223,1.0,1.25,0.3779644730092271,1.6272868033903742,0.11774433594500015,-0.24823404062243565,19.161903071049238,7.5,-0.326979093
107,C(CF)O,0.385083898,0.3472222222222223,1.0,2.0,0.4125890342545925,1.5356876428595294,0.11246039712919563,-0.39366054126169014,19.1412536467818,7.5,-1.356547324
108,C(Cl)(Cl)(Cl)Cl,0.40852219,1.6111111111111107,1.0,0.8,3.857142857142857,2.293436919704575,0.06642130282188381,-0.06642130282188381,35.625388254184024,12.0,1.505149978
109,C(Cl)(Cl)Cl,0.4066057,0.7499999999999998,1.0,1.0,2.226922466874271,2.0323262923561325,0.08741152777904436,-0.08741152777904436,35.5822735642317,9.0,-0.300162274
110,C(Cl)Br,0.38953315,0.5347222222222223,1.0,2.0,1.5746719775034714,1.7819022394103068,0.0777631430150728,-0.1141985641082697,79.91873142723311,6.0,-0.344861565
111,C(CO)C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,0.37929881,1.8231554705215425,1.0,1.2105263157894737,3.3989937452482555,2.572780475191237,0.39614042090808943,-0.39614042090808943,19.433401782772805,15.789473684210526,-1.327902142
112,C(CO)C(F)(F)F,0.390538614,0.8159722222222223,1.0,1.7142857142857142,1.0887843749043296,2.1720984329591992,0.3908036270303192,-0.39602739880153726,19.41311296362661,12.0,-1.387216143
113,C(CO)C(F)(F)F,0.392805693,0.8159722222222223,1.0,1.7142857142857142,1.0887843749043296,2.1720984329591992,0.3908036270303192,-0.39602739880153726,19.41311296362661,12.0,-1.387216143
114,C(F)(Cl)(Cl)Cl,0.41484832,2.583333333333333,1.0,1.2,2.571428571428571,2.257291318583605,0.1891693418719329,-0.1891693418719329,35.58261369619986,12.0,1.716003344
115,C(F)(Cl)Cl,0.4224273,1.722222222222222,1.0,1.5,1.237179148263484,1.9834401692482644,0.21187755147036705,-0.21187755147036705,35.539233659831034,9.0,0.230448921
116,C(F)(F)(Br)Br,0.39051257,1.9583333333333333,1.0,1.2,3.4846149779161797,2.275763289821472,0.18149493573976552,-0.18149493573976552,79.9344611416093,12.0,0.397940009
117,C(F)(F)(Cl)Br,0.41649533,1.8070987654320987,1.0,1.6,2.3557687223952257,2.2481204898281186,0.17658052877628858,-0.17658052877628858,79.91873955411432,12.0,1.204119983
118,C(F)(F)(Cl)Cl,0.43204057,3.5555555555555554,1.0,1.2,1.5714285714285716,2.2189023423628966,0.171534140181979,-0.171534140181979,35.53946343113016,12.0,2.008600172
119,C(F)(F)(F)Br,0.42967108,1.375,1.0,1.2,1.3277469477228496,2.2093247517986883,0.16004778882170304,-0.16004778882170304,79.9187380497978,12.0,1.857332496
120,C(F)(F)(F)Cl,0.46668444,3.530092592592592,1.0,1.2,0.8571428571428571,2.177851125980908,0.15568093590946064,-0.15568093590946064,35.49592860075717,12.0,2.806179974
121,C(F)(F)(F)F,0.552391616,5.5,1.0,0.8,0.42857142857142844,2.133572220796798,0.1398591211178809,-0.1398591211178809,19.532788422552155,12.0,4.698970004
122,C(F)(F)(F)S(F)(F)(F)(F)F,0.48719863,7.402777777777779,1.0,0.8,3.815561444390231,3.040524000294378,0.15332557143953182,-0.15332557143953182,32.48721703611422,21.6,2.903089987
123,C(F)(F)Br,0.41649525,1.9375,1.0,1.5,0.9396214670270893,1.97300433739238,0.19746996205193992,-0.19746996205193992,79.91873398608462,9.0,0.69019608
124,C(F)(F)Cl,0.450858998,2.6944444444444446,1.0,1.5,0.5773502691896257,1.9294955594395709,0.1919545254547639,-0.1919545254547639,35.49581216589725,9.0,1.075546961
125,C(F)(F)F,0.513551347,3.666666666666667,1.0,1.0,0.24743582965269675,1.8687705323481487,0.1742238461437192,-0.1742238461437192,19.405696180963208,9.0,2.357934847
126,C(F)F,0.462914254,1.75,1.0,1.3333333333333333,0.10101525445522105,1.5571464207992785,0.21418589178897088,-0.21418589178897088,19.274354851960737,6.0,0.73239376
127,C(OC(C(F)(F)F)C(F)(F)F)F,0.414008661,2.1352314814814815,1.0,1.3333333333333333,1.739040538756991,2.3491925294640965,0.32888993823636115,-0.32888993823636115,19.424938877937702,14.0,0.278753601
128,C(OC(C(OC(C(OC(C(OC(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.42209997,1.478236252834467,1.0,0.7142857142857143,4.061789331013267,2.495647850313695,0.2507135316854092,-0.2507135316854092,19.36090928779256,15.642857142857142,1.42975228
129,C(OC(C(OC(C(OC(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.42972064,1.6733333333333333,1.0,0.9047619047619048,2.9261747973748156,2.4611222815477642,0.2507135316854157,-0.2507135316854157,19.353115930576017,15.142857142857142,1.42975228
