index,SMILE,HomoLumoGap,Chi2n,MolMR,Chi1n,BCUT2D_LOGPLOW,IP,AvgIpc,MaxPartialCharge,BCUT2D_MWHI,fr_halogen,LF
28,C(=C/Cl)\F,0.25675,0.2519763153394849,16.101,0.7697691138053182,-1.1447994739191243,0.357129643,1.370950594454669,0.0979330892649945,35.49562264254682,2,-2.301029996
29,C(=C/F)\C(F)(F)F,0.27302,0.834267373976112,16.303,1.4071730676779797,-1.9879396828534566,0.395292688,1.2958363892911637,0.4114447639855823,19.413124650272522,4,-1.283996656
30,C(=C\C(F)(F)F)\C(F)(F)F,0.26327,1.416558432612739,21.25,2.044577021550641,-2.0680935384432977,0.418603578,1.5730118671551043,0.4092768979698469,19.417529477316357,6,-1.13076828
31,C(=C\F)\C(F)(F)F,0.26707,0.834267373976112,16.303,1.4071730676779797,-1.9879396828534566,0.394313412,1.2958363892911637,0.4114447639855823,19.413124650272522,4,-1.568636236
32,C(=CC(F)(F)F)C(F)(F)F,0.27159,1.416558432612739,21.25,2.044577021550641,-2.0680935384432977,0.420768808,1.5730118671551043,0.4092768979698469,19.417529477316357,6,-0.476253533
33,C(=CCl)C(F)(F)F,0.25117,0.834267373976112,21.048,1.4071730676779797,-1.9868840157156187,0.380799567,1.2958363892911637,0.41009609196311353,35.49562278097441,4,-1.443697499
34,C(=O)(C(C(F)(F)F)(C(F)(F)F)F)C(C(F)(F)F)(F)F,0.21221,3.055267751554555,31.95800000000001,3.721910983287294,-2.6560214867922376,0.40479327,2.0912124264348146,0.4609289532490623,19.438692007638572,12,-1.721246399
35,C(Br)(Br)Br,0.20765,0.24743582965269675,30.569,0.6546536707079772,-1.4890108437736251,0.3652842,0.8112781244591328,0.1242210391429418,79.95015715657301,3,-0.806875402
36,C(Br)Br,0.24224,0.10101525445522105,22.720999999999997,0.5345224838248487,-1.1869848860732388,0.37603692,0.9182958340544894,0.05878888811867264,79.93444491408715,2,-0.386158178
37,C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,0.3597,3.293090315836464,31.898000000000007,3.8957513110645894,-2.689480169221134,0.42710509,2.123974153271652,0.4596473223421968,19.441437640880466,14,3.491361694
38,C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,0.37523,1.9958148790672414,21.953000000000003,2.5479865705990936,-2.551238513503694,0.42810556,1.8356240554391323,0.45962573052115563,19.4327007780415,9,1.505149978
39,C(C(C(C(F)(F)F)(F)F)(F)F)O,0.33801,1.9347147416310977,23.034799999999997,2.4926568121424073,-2.532904215279068,0.394277715,1.8483335453198617,0.45946307297221267,19.43172067400785,7,-0.259637311
40,C(C(C(C(F)(F)F)F)(F)F)O,0.3478,1.8233137389904406,22.983799999999995,2.410260498558798,-2.435302152986374,0.397771334,1.8440159989938614,0.4252665737826318,19.418493783461322,6,-0.435333936
41,C(C(C(F)(F)Cl)(F)F)(F)Cl,0.31399,1.4214218346294432,26.496,1.9200220975898659,-2.4109815710023343,0.41301378,1.6172521756325944,0.3879690662049616,35.497015212575704,7,0.770852012
42,C(C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,0.36586,2.7186972713986655,26.951000000000004,3.2677868380553625,-2.6495780362639536,0.43155834,1.9839765572031232,0.45965021561601044,19.441949650795227,12,3.612783857
43,C(C(C(F)(F)F)(F)F)(C(F)(F)F)(F)F,0.39637,2.1443042269608665,22.004000000000005,2.6398223650461357,-2.58839213862453,0.45274427,1.8096798835528565,0.45978924547886835,19.44412335407396,10,3.414973348
44,C(C(C(F)(F)F)(F)F)(F)F,0.40148,1.4214218346294432,17.006000000000004,1.9200220975898659,-2.423723934633136,0.444128271,1.6172521756325944,0.45901366738570115,19.431442775333625,7,1.477121255
45,C(C(C(F)(F)F)(F)F)F,0.39405,1.335838435141093,16.977000000000004,1.8157258150287663,-2.376909896621384,0.442388325,1.6364527976600283,0.45561005698064094,19.42927599565634,6,1.127104798
46,C(C(C(F)(F)F)(F)F)O,0.3498,1.3603216971932997,18.0878,1.86469233913318,-2.3909948056540564,0.402461134,1.6364527976600283,0.4552546496329171,19.42858370367057,5,-0.326979093
47,C(C(C(F)(F)F)F)(C(C(F)(F)F)(F)F)F,0.37426,2.465865423057733,26.849000000000004,3.1089772750318523,-2.521807592337149,0.43849431,1.9725948902944757,0.4560703649115135,19.431932286827323,10,1.230448921
48,C(C(C(F)(F)F)F)F,0.38883,1.1634523399138141,16.926000000000002,1.7493492667209336,-2.2528263052951782,0.441109306,1.6203352658383443,0.42176236504489434,19.417540096842945,5,0.505149978
49,C(C(C(F)F)(F)F)F,0.38625,1.1953589698853564,16.926000000000002,1.723890020581723,-2.2793502937646024,0.425993591,1.6668127273868607,0.33459910097253914,19.325492772257395,5,0.819543936
50,C(C(C(F)F)(F)F)O,0.34576,1.2198422319375632,18.036800000000003,1.7728565446861366,-2.2992457232992307,0.391070215,1.6668127273868607,0.3293870723971217,19.322411746323528,4,-0.59345982
51,C(C(C(F)F)(F)F)OC(F)F,0.38321,1.6333853540523997,22.906999999999996,2.4174419541316126,-2.3263621365643465,0.41273935,1.835608509851416,0.3450292710552905,19.323154018926374,6,0.544068044
52,C(C(Cl)(Cl)Cl)(F)(F)Cl,0.26619,0.9955181380852692,31.090000000000003,1.3838934190276817,-2.2564460628220067,0.40493145,1.253297578463043,0.36751437460735925,35.582804554548886,6,1.716003344
53,C(C(Cl)(Cl)Cl)(F)(F)F,0.26783,0.9955181380852692,26.345000000000002,1.3838934190276817,-2.2693120386016066,0.41366938,1.253297578463043,0.43524691185782,35.582517234286854,6,1.740362689
54,C(C(Cl)Cl)(F)F,0.29595,0.6689098504474343,21.497999999999998,1.206204894277303,-1.992139865609292,0.41720555,1.3609640474436813,0.26782627967799244,35.539167689093674,4,0.049218023
55,C(C(F)(Cl)Cl)(Cl)Cl,0.26726,0.8423090497599275,31.038999999999998,1.2920576245806386,-2.128477156050443,0.39143845,1.3143204867061786,0.28694614929197226,35.54506406456512,5,0.045322979
56,C(C(F)(Cl)Cl)(F)(Cl)Cl,0.28124,0.9955181380852692,31.090000000000003,1.3838934190276817,-2.2560228344349516,0.40716058,1.253297578463043,0.319612308839706,35.545193284219664,6,1.803457116
57,C(C(F)(Cl)Cl)(F)(F)Cl,0.29286,0.9955181380852692,26.345,1.3838934190276817,-2.2684867151008214,0.42040364,1.253297578463043,0.3829756476639305,35.53978294491513,6,1.968482949
58,C(C(F)(Cl)Cl)(F)(F)F,0.29392,0.9955181380852692,21.6,1.3838934190276817,-2.280963129729824,0.43024014,1.253297578463043,0.45199522934948994,35.53939814460362,6,2.021189299
59,C(C(F)(Cl)Cl)(F)Cl,0.28215,0.8423090497599275,26.294,1.2920576245806386,-2.139794949877572,0.40705172,1.3143204867061786,0.3020576530761804,35.5397789142122,5,0.491361694
60,C(C(F)(Cl)Cl)F,0.29288,0.7488081981105629,21.52,1.187761342019539,-2.040608055386472,0.41872573,1.3516441151533922,0.2851518115816799,35.53939609342832,4,0.612783857
61,C(C(F)(F)Br)(F)(F)Br,0.24622,0.9955181380852692,27.748,1.3838934190276817,-2.268372577288226,0.39522931,1.253297578463043,0.3731421351812074,79.91998504754596,6,1.447158031
62,C(C(F)(F)Cl)(Cl)Cl,0.28432,0.8423090497599275,26.294,1.2920576245806386,-2.1450151593916904,0.40670093,1.3143204867061786,0.35086408013378073,35.53955352216257,5,-0.045757491
63,C(C(F)(F)Cl)(F)(F)Cl,0.32408,0.9955181380852692,21.6,1.3838934190276817,-2.280559550348423,0.43310363,1.253297578463043,0.3983173063681832,35.49882169611609,6,2.276461804
64,C(C(F)(F)Cl)(F)(F)F,0.33644,0.9955181380852692,16.855,1.3838934190276817,-2.2926571448852306,0.4565249,1.253297578463043,0.4688490319432292,35.495895454154365,6,2.73239376
65,C(C(F)(F)Cl)(F)Cl,0.31698,0.8423090497599275,21.549,1.2920576245806386,-2.1558657388219604,0.42559675,1.3143204867061786,0.36571306607415066,35.49875615309692,5,0.602059991
66,C(C(F)(F)F)(C(F)(F)F)(F)F,0.42021,1.5699111825230678,17.057000000000002,2.011857892036909,-2.487573974934419,0.465475764,1.5812853946781595,0.4627456645168106,19.450466065699977,8,3.414973348
67,C(C(F)(F)F)(C(F)(F)F)F,0.41225,1.4457805568128046,17.006000000000004,1.9294615784533,-2.3769120497146847,0.46716158,1.5894951972794726,0.42822191899892875,19.431905590867846,7,1.556302501
68,C(C(F)(F)F)(Cl)Br,0.25572,0.8423090497599275,24.623,1.2920576245806386,-2.1562665989238763,0.40330832,1.3143204867061786,0.41411961926254487,79.91873514814836,5,0.0
69,C(C(F)(F)F)(Cl)Cl,0.29568,0.8423090497599275,21.549,1.2920576245806386,-2.161402454674187,0.42308256,1.3143204867061786,0.4180829424250964,35.53916871205997,5,0.113943352
70,C(C(F)(F)F)(F)(F)F,0.47485,0.9955181380852692,12.110000000000003,1.3838934190276817,-2.3043867953191657,0.494092245,1.253297578463043,0.48741673507817035,19.46850530838824,6,4.0
71,C(C(F)(F)F)(F)Br,0.27328,0.8423090497599275,19.878,1.2920576245806386,-2.16661642444865,0.41074817,1.3143204867061786,0.42930154701402856,79.91873364467328,5,0.462397998
72,C(C(F)(F)F)(F)Cl,0.32506,0.8423090497599275,16.804000000000002,1.2920576245806386,-2.171811801394724,0.434961906,1.3143204867061786,0.43338312355532893,35.495779193755105,5,0.770852012
73,C(C(F)(F)F)(F)F,0.43772,0.8423090497599275,12.059000000000003,1.2920576245806386,-2.1823294879064297,0.466143167,1.3143204867061786,0.44970271563913483,19.427405977581422,5,1.477121255
74,C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F,0.41176,2.564439179782366,27.985000000000003,3.336541795504388,-2.549717187947417,0.44524624,1.980691454762246,0.46238650698183925,19.434441632646923,11,1.773786445
75,C(C(F)(F)F)(OC(F)(F)F)F,0.44026,1.4212515750195418,18.091,2.080612849485935,-2.3230762971839347,0.463875284,1.564517736154244,0.5248271103255682,19.42831599857701,7,1.738780558
76,C(C(F)(F)F)(OC(F)F)F,0.43354,1.254395240240068,18.040000000000003,1.9816800356076627,-2.2836779045380386,0.449640889,1.6021581478790754,0.44486518240863926,19.418021396751197,6,1.149219113
77,C(C(F)(F)F)Br,0.27033,0.7488081981105629,19.848999999999997,1.187761342019539,-2.0668160937414806,0.40375793,1.3516441151533922,0.3980013744474455,79.91872958323326,4,0.505149978
78,C(C(F)(F)F)C(F)(F)F,0.46237,1.4071318496053382,16.727000000000004,1.8410002002142294,-2.200229433520743,0.475636481,1.1431558784658322,0.39725642255547566,19.42410049543594,6,2.328379603
79,C(C(F)(F)F)Cl,0.31956,0.7488081981105629,16.775000000000002,1.187761342019539,-2.0711090419985005,0.431566028,1.3516441151533922,0.4017239426310728,35.49566354483417,4,0.662757832
80,C(C(F)(F)F)F,0.42813,0.7488081981105629,12.030000000000003,1.187761342019539,-2.079896722841227,0.465805406,1.3516441151533922,0.41630089910816304,19.4169159613504,4,1.146128036
81,C(C(F)(F)F)O,0.36098,0.7732914601627696,13.140800000000002,1.2367278661239527,-2.116935503636076,0.41202365,1.3516441151533922,0.41100300461617556,19.413287322460963,3,-0.339134522
82,C(C(F)(F)F)OC(C(F)(F)F)(F)F,0.40703,1.9183880113030403,23.009,2.6082105624569265,-2.4097750074625437,0.44815765,1.794561384057248,0.4824682157754837,19.43177433890946,8,0.875061263
83,C(C(F)(F)F)OC(C(F)F)(F)F,0.40175,1.7663501536938022,22.958,2.5163747680098836,-2.3387742076374582,0.434114265,1.8206843007450695,0.41630232566100145,19.413746793655953,7,0.785329835
84,C(C(F)(F)F)OC(F)(F)F,0.4162,1.3495934509780156,18.062,1.9802460894477,-2.2390288090999966,0.450522174,1.5730118671551043,0.5223240326444334,19.42550886099725,6,0.875061263
85,C(C(F)(F)F)OC(F)F,0.41141,1.1868345822776059,18.011,1.8813132755694282,-2.18379258264903,0.434837613,1.5938548967005406,0.4115149343488647,19.413511657883905,5,0.740362689
86,C(C(F)(F)F)OC=O,0.29053,1.0224068559833617,18.070999999999998,1.6805797554929593,-2.1542124685919863,0.41206806,1.5920001314822056,0.4221728098798466,19.413311151264327,3,-0.261219442
87,C(C(F)(F)F)OCC(F)(F)F,0.35659,1.7231544341354457,22.928999999999995,2.4183504694038547,-2.2343929584850133,0.390384198,1.5536739848063479,0.4112856383718406,19.417461924314246,6,-0.454692884
88,C(C(F)Cl)(F)Cl,0.31375,0.6689098504474343,21.497999999999998,1.206204894277303,-1.9914820598036218,0.41812027,1.3609640474436813,0.21775979934933204,35.49868948624464,4,0.238046103
89,C(C(F)Cl)Cl,0.29848,0.5453886597705079,21.468999999999998,1.1119453128482721,-1.843225652608558,0.40263497,1.3787834934861756,0.18642508417303855,35.49862431082144,3,0.056904851
90,C(C(F)F)(C(F)(F)F)F,0.39126,1.2778312443178255,16.955000000000002,1.8436088481499644,-2.303690684104957,0.446135934,1.6151713102472967,0.4248566065484159,19.41838269464403,6,1.056904851
91,C(C(F)F)(C(F)F)F,0.38037,1.1133362555167945,16.904000000000003,1.7577561178466288,-2.202616682033698,0.425523876,1.6403360647604435,0.2745334538771766,19.298048385438225,5,0.505149978
92,C(C(F)F)(F)F,0.41552,0.6689098504474343,12.008000000000003,1.206204894277303,-2.0225479941384323,0.44230689,1.3609640474436813,0.2977650304672564,19.31870689919891,4,1.0
93,C(C(F)F)(OC(F)(F)F)F,0.41983,1.2492047964454989,18.040000000000003,1.994760119182599,-2.2520103097369817,0.443660829,1.5998182365478808,0.5247229854944465,19.423234444377538,6,0.954242509
94,C(C(F)F)C(F)(F)F,0.43359,1.2103870321946981,16.676000000000002,1.7651841710429623,-2.1155689345633175,0.448141575,1.210810026106033,0.39405364516037644,19.41371597403333,5,0.897627091
95,C(C(F)F)F,0.40601,0.5453886597705079,11.979000000000003,1.1119453128482721,-1.8790841481024492,0.437768714,1.3787834934861756,0.26605193622686385,19.285068725587664,3,0.556302501
96,C(C(F)F)O,0.35736,0.5736594956434714,13.089800000000002,1.1609118369526856,-1.9378906701549996,0.395412296,1.3787834934861756,0.26080596330791833,19.279803522155213,2,-0.777283529
97,C(C(F)F)OC(C(F)(F)F)(F)F,0.38777,1.716624843326366,22.958,2.53239453328566,-2.3970553593376858,0.42061607,1.8103648120146445,0.4824658215369638,19.430218090821135,7,0.826074803
98,C(C(F)F)OC(C(F)F)(F)F,0.38723,1.5645869857171277,22.906999999999996,2.4405587388386167,-2.3145895232638067,0.412228567,1.835608509851416,0.4161864998588893,19.327801332136215,6,0.77815125
99,C(C(F)F)OC(F)(F)F,0.39895,1.1478302830013412,18.011,1.9044300602764332,-2.17406097489468,0.421283431,1.5938548967005406,0.5222051584986991,19.42259823464821,5,0.826074803
100,C(C(OC(C(F)(F)F)(F)F)(F)F)(F)F,0.41661,1.9790948141144808,23.038,2.7062348610629563,-2.46635366850849,0.44160814,1.804942365268649,0.48266286611799464,19.431114020349295,9,1.397940009
101,C(C(OC(F)(F)F)(F)F)(C(F)(F)F)F,0.41088,2.013771760842333,23.038,2.7156743419263902,-2.458475600493562,0.45755003,1.7752687214913971,0.526788963124954,19.428582418557447,9,0.230448921
102,C(C=O)C(F)(F)F,0.22868,0.9859683890529489,16.736,1.5644506509664935,-2.0594667398862048,0.384324082,1.2958363892911637,0.395117755544443,19.413107953811227,3,-2.096910013
103,C(CBr)Br,0.2502,0.3779644730092271,27.587999999999994,1.0345224838248486,-1.6100720334176324,0.36698874,1.370950594454669,0.012858597828711611,79.91997558423589,2,-0.612610174
104,C(CC(F)(F)F)CO,0.34344,1.442337765497603,22.374799999999997,2.2367278661239522,-2.067129814372524,0.383171433,1.5920001314822056,0.3887092894948046,19.41310825626341,3,-1.823908741
105,C(CCl)Cl,0.30045,0.3779644730092271,21.439999999999994,1.0345224838248486,-1.6333332020997315,0.397082481,1.370950594454669,0.035889203448099614,35.49855801733687,2,-0.647817482
106,C(CF)F,0.39959,0.3779644730092271,11.950000000000003,1.0345224838248486,-1.6791192391428795,0.435398311,1.370950594454669,0.11774433594500015,19.161903071049238,2,-0.326979093
107,C(CF)O,0.35533,0.4125890342545925,13.060800000000002,1.0834890079292623,-1.7734315142224322,0.385083898,1.370950594454669,0.11246039712919563,19.1412536467818,1,-1.356547324
108,C(Cl)(Cl)(Cl)Cl,0.2469,0.42857142857142844,26.143,0.7559289460184544,-1.806036919704575,0.40852219,0.7219280948873623,0.26568521128753525,35.625388254184024,4,1.505149978
109,C(Cl)(Cl)Cl,0.26614,0.24743582965269675,21.346999999999998,0.6546536707079772,-1.5459262923561323,0.4066057,0.8112781244591328,0.18010663547779673,35.5822735642317,3,-0.300162274
110,C(Cl)Br,0.25797,0.10101525445522105,19.647,0.5345224838248487,-1.2139135319598782,0.38953315,0.9182958340544894,0.0777631430150728,79.91873142723311,2,-0.344861565
111,C(CO)C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,0.30746,3.3989937452482555,37.545800000000014,4.24858575816086,-2.660100164721753,0.37929881,2.141915955727942,0.45964723851382894,19.433401782772805,11,-1.327902142
112,C(CO)C(F)(F)F,0.35691,1.0887843749043296,17.757800000000003,1.7367278661239525,-2.0819702892441887,0.390538614,1.2958363892911637,0.3908036270303192,19.41311296362661,3,-1.387216143
113,C(CO)C(F)(F)F,0.34552,1.0887843749043296,17.757800000000003,1.7367278661239525,-2.0819702892441887,0.392805693,1.2958363892911637,0.3908036270303192,19.41311296362661,3,-1.387216143
114,C(F)(Cl)(Cl)Cl,0.26004,0.42857142857142844,21.398,0.7559289460184544,-1.8349284903130545,0.41484832,0.7219280948873623,0.3332652876584487,35.58261369619986,4,1.716003344
115,C(F)(Cl)Cl,0.29459,0.24743582965269675,16.602,0.6546536707079772,-1.5830761265522182,0.4224273,0.8112781244591328,0.24671722714495567,35.539233659831034,3,0.230448921
116,C(F)(F)(Br)Br,0.22834,0.42857142857142844,22.801,0.7559289460184544,-1.8356278954429512,0.39051257,0.7219280948873623,0.3555461618251017,79.9344611416093,4,0.397940009
117,C(F)(F)(Cl)Br,0.24998,0.42857142857142844,19.727,0.7559289460184544,-1.849289979721126,0.41649533,0.7219280948873623,0.37778890047006136,79.91873955411432,4,1.204119983
118,C(F)(F)(Cl)Cl,0.29035,0.42857142857142844,16.653,0.7559289460184544,-1.862732576676096,0.43204057,0.7219280948873623,0.40081272228189074,35.53946343113016,4,2.008600172
119,C(F)(F)(F)Br,0.28013,0.42857142857142844,14.982,0.7559289460184544,-1.876553372486501,0.42967108,0.7219280948873623,0.4478758800602103,79.9187380497978,4,1.857332496
120,C(F)(F)(F)Cl,0.34132,0.42857142857142844,11.908,0.7559289460184544,-1.8895513702872455,0.46668444,0.7219280948873623,0.4753250269132529,35.49592860075717,4,2.806179974
121,C(F)(F)(F)F,0.60756,0.42857142857142844,7.163,0.7559289460184544,-1.9154722207967987,0.552391616,0.7219280948873623,0.5594364844715236,19.532788422552155,4,4.698970004
122,C(F)(F)(F)S(F)(F)(F)(F)F,0.31006,1.4147109576538859,19.186000000000003,1.5425876045562317,-2.266242518670972,0.48719863,1.1585488318903812,0.5346531460224966,32.48721703611422,8,2.903089987
123,C(F)(F)Br,0.28107,0.24743582965269675,14.931,0.6546536707079772,-1.601630985462839,0.41649525,0.8112781244591328,0.29177661498162405,79.91873398608462,3,0.69019608
124,C(F)(F)Cl,0.33856,0.24743582965269675,11.857000000000001,0.6546536707079772,-1.6182378700177458,0.450858998,0.8112781244591328,0.311892976545013,35.49581216589725,3,1.075546961
125,C(F)(F)F,0.50549,0.24743582965269675,7.112,0.6546536707079772,-1.6516705323481489,0.513551347,0.8112781244591328,0.3786251578100233,19.405696180963208,3,2.357934847
126,C(F)F,0.44412,0.10101525445522105,7.083,0.5345224838248487,-1.3394464207992787,0.462914254,0.9182958340544894,0.22851975934321334,19.274354851960737,2,0.73239376
127,C(OC(C(F)(F)F)C(F)(F)F)F,0.38006,1.739040538756991,22.958,2.5028823251200603,-2.4368204011813375,0.414008661,1.7664232982979893,0.42323854294822416,19.424938877937702,7,0.278753601
128,C(OC(C(OC(C(OC(C(OC(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.40549,4.061789331013267,46.02999999999998,5.586807791181952,-2.586760467299656,0.42209997,2.3110553371300377,0.4528386845931051,19.36090928779256,16,1.42975228
129,C(OC(C(OC(C(OC(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.40972,2.9261747973748156,35.05100000000001,4.172630554699635,-2.5525134858971206,0.42972064,2.093844344474014,0.45282454349499957,19.353115930576017,12,1.42975228
130,C(OC(C(OC(OC(F)F)(F)F)(F)F)(F)F)(F)F,0.42476,2.3559909410384194,30.104,3.5446660816904085,-2.5007139622341445,0.44077539,1.934990617015695,0.49440843132349616,19.344683639381103,10,1.149219113
131,C(OC(F)(F)F)(F)F,0.47323,0.8242446405857919,13.144000000000002,1.4432088956132731,-2.1629718219852587,0.47727846,1.210810026106033,0.5264967476231521,19.42440205838359,5,2.130333768
132,C(OC(F)F)(F)F,0.46523,0.6573883058063182,13.093000000000002,1.3442760817350012,-2.034816011612287,0.46223828,1.272905595320056,0.3490870023716829,19.30120514540272,4,1.42975228
133,C=C(C(F)(F)F)C(F)(F)F,0.27334,1.474071528678543,21.25,1.9874468096209557,-2.242532961590986,0.420570216,1.5894951972794726,0.4202298998736792,19.42426478750214,6,-1.552841969
134,C=C(C(F)(F)F)F,0.27158,0.9026575035477905,16.303,1.3594823366117283,-2.0513296452117706,0.395688332,1.3143204867061786,0.4417905581462222,19.41708920003577,4,-1.48148606
