name,111_5e5,111_1e7,231_5e5,231_1e7,296_5e5,296_1e7
05000N2,156.8218331,207.6863913,8.363775582,88.7707778,3.241700078,47.59478681
05001N2,47.61076443,289.149012,6.678232134,100.6475417,4.315909198,70.25926517
05001N2_1.0_0.5,100.3778151,325.2879405,11.29954689,124.5460737,5.732194832,83.06734753
05001N2_1.0_1.0,127.6240564,312.4779877,18.11223652,134.3922445,7.490588334,91.20866075
05001N2_2.0_0.5,108.480485,315.4187955,10.39804643,122.8357108,5.516533477,81.80499985
05001N2_2.0_1.0,176.8084323,344.271398,21.71686203,151.2597081,8.405605127,99.42835456
07000N2,39.76406276,279.9685526,6.527002935,100.3237759,4.259181299,72.24054183
07000N2_1.0_0.5,84.76006638,303.5115328,11.60759017,122.5639801,5.725014949,84.85041748
07000N2_1.0_1.0,127.9739631,327.5509564,19.63979466,145.0432289,8.627333658,99.78184664
07000N2_2.0_0.5,108.7672154,319.7443193,13.22743743,131.8553367,6.444631808,90.17696543
07000N2_2.0_1.0,152.9337444,342.1837569,25.92704353,161.3526233,10.24416626,110.0171463
07001N2,124.5755432,251.8707339,9.607095561,100.8075403,4.914080318,64.29029298
07002N2,59.23595778,289.8036245,7.044454498,98.09798356,4.093111065,66.35263869
07002N2_1.0_0.5,112.1476168,311.6772635,15.01164808,125.860334,6.703622944,83.56318641
07002N2_1.0_1.0,141.8855012,320.5493052,32.50134275,143.4496036,14.10420967,100.0076161
07002N2_2.0_0.5,131.1988838,321.057902,17.79787676,134.943513,7.389020861,89.71990061
07002N2_2.0_1.0,177.6822718,318.4731724,45.84600045,160.5331677,17.47867096,113.198484
07010N3,68.38587521,386.778826,8.86429642,131.3399423,5.369083167,88.46578192
07010N3_1.0_0.5,173.1464772,440.191438,20.89809654,178.5901145,9.28547617,118.074558
07010N3_1.0_1.0,260.9305815,481.185896,40.9802343,223.7106366,15.85288696,149.3544112
07010N3_2.0_0.5,229.1105129,455.2172005,26.43655332,197.5199865,10.89552483,128.7759586
07010N3_2.0_1.0,346.1711068,492.8236045,60.91902731,260.9350203,21.46610704,176.0721926
07011N3,58.14764789,381.2619238,8.812843701,126.661356,5.352608017,86.3561688
07011N3_1.0_0.5,144.5570336,434.3733355,18.73787114,167.1725755,8.582074526,111.0694643
07011N3_1.0_1.0,226.2369531,473.8818971,32.82341618,207.8011324,13.65932186,138.0455346
07011N3_2.0_0.5,192.5384693,445.689976,22.66713134,184.1202767,9.933490062,120.7015549
07011N3_2.0_1.0,303.1932652,482.4177527,48.14450395,240.3607427,18.41547782,160.7842728
