-1550 0.000178545
-1440 0.000815364
-1330 0.000423364
-1220 0.00034
-1110 0.000261455
-1000 0.000302364
-890 0.000595273
-780 0.000821091
-670 0.000847364
-560 0.00132273
-450 0.000754182
-340 0.000551818
-230 0.000416909
-120 0.000286545
-10 0.000243182
100 0.000181455
210 0.000148636
320 0.000122
430 9.35455e-05
540 7.42727e-05
650 6.49091e-05
760 5.58182e-05
870 4.01818e-05
980 3.27273e-05
1090 2.6e-05
1200 2.15455e-05
1310 1.49091e-05
1420 1.22727e-05
1530 9.18182e-06
1640 7.63636e-06
1750 4.63636e-06
1860 4.63636e-06
1970 3.90909e-06
2080 2.63636e-06
2190 2.27273e-06
2300 1.27273e-06
2410 1.90909e-06
2520 1.18182e-06
2630 1e-06
2740 4.54545e-07
2850 3.63636e-07
2960 1.81818e-07
3070 1.81818e-07
3180 3.63636e-07
3290 1.81818e-07
3400 9.09091e-08
3510 1.81818e-07
4170 1.81818e-07
