-1550 0.000191273
-1440 0.000888455
-1330 0.000478909
-1220 0.000384545
-1110 0.000304364
-1000 0.000346545
-890 0.000658273
-780 0.000907545
-670 0.000903818
-560 0.00127264
-450 0.000722
-340 0.000504909
-230 0.000368
-120 0.000240455
-10 0.000192818
100 0.000147636
210 0.000119
320 9.39091e-05
430 7.65455e-05
540 6.08182e-05
650 5.1e-05
760 3.75455e-05
870 3.03636e-05
980 2.54545e-05
1090 1.98182e-05
1200 1.54545e-05
1310 1e-05
1420 8.27273e-06
1530 6.27273e-06
1640 6.27273e-06
1750 2.72727e-06
1860 2.36364e-06
1970 3.18182e-06
2080 2.18182e-06
2190 1.27273e-06
2300 1.09091e-06
2410 1.36364e-06
2520 5.45455e-07
2630 9.09091e-07
2740 2.72727e-07
2850 2.72727e-07
2960 4.54545e-07
3070 1.81818e-07
3180 1.81818e-07
3290 4.54545e-07
3400 1.81818e-07
3510 1.81818e-07
4720 1.81818e-07
