Element,Count
Ni,1511
H,1236184
C,2178562
N,156482
Co,4406
O,675228
Fe,8196
Zn,59451
Cd,2219
V,6634
F,37316
Cl,18988
I,3416
Br,12241
S,9110
Cu,47181
Mn,703
Al,495
Li,1354
Cr,198
Si,39
Zr,321
Mg,208
Ce,209
Nd,98
La,283
P,424
In,70
Eu,98
Tb,46
Pr,56
Ca,41
Ho,26
Sc,44
U,46
K,20
Sm,94
Hf,24
Gd,124
Cs,2
Mo,52
Dy,24
Au,48
Sr,19
As,20
Er,92
Ag,90
Na,24
W,3
Ga,12
Y,22
Pb,104
Th,2
Pd,547
Nb,4
Hg,4
Pt,5
Ba,18
Rb,4
Ti,1488
