Screening ID,MOFs,5SF6,1SF6,0SF6,5N2,1N2,0N2,LCD,PLD,VolumetricSurfaceArea,GravimetricSurfaceArea,PoreVolume,VoidFraction,5Selectivity,5WC,1Selectivity,1WC
2434,VOPCIO_clean,5.088070768,2.010009164,0.505102893,0.450585392,0.128027772,0.024882758,8.96483,7.98484,1632.36,1515.69,0.572685,0.616764,101.6292089,3.078061604,141.2981121,1.504906271
2452,VUNHAO_clean,3.656805263,0.259891211,0.025435855,0.280905386,0.157213705,0.017603911,8.8753,7.9834,2731.2,4543.66,1.26076,0.757841,117.1613255,3.396914052,14.87797072,0.234455356
2468,WAFKEU03_clean,3.549386799,0.43823442,0.053106024,0.32317089,0.151856895,0.016019586,9.22511,6.46848,2588.6,3885.28,1.11754,0.744571,98.84702546,3.111152379,25.97254329,0.385128396
2528,WISVEB_clean,5.322365611,0.725065456,0.087729725,0.501203385,0.163025316,0.016147105,8.95121,6.85436,2444.04,2948.89,0.911258,0.75525,95.57255983,4.597300155,40.02807211,0.637335731
2529,WITFIQ_clean,5.318231634,1.175136603,0.183050055,0.50973119,0.087915997,0.013497776,7.75342,7.15178,1136.83,1092.37,0.533847,0.555578,93.90063948,4.143095031,120.2992605,0.992086548
2530,WITKIV_clean,5.132840477,0.549861013,0.073803596,0.515140794,0.208761575,0.022171904,20.46015,11.47129,1691.12,2881.23,1.32707,0.778912,89.67560875,4.582979464,23.70526816,0.476057417
2531,WIYFAM_clean,5.349697105,0.269980082,0.024321429,0.500423836,0.174772076,0.020166009,9.06412,6.13209,2335.2,2940.58,0.905157,0.718812,96.21299083,5.079717023,13.90279725,0.245658653
2534,WIZMAV_clean,5.421179475,1.981119947,0.190753516,0.499124586,0.197438747,0.023150272,12.96894,6.6809,2209.62,3057.94,1.02113,0.737852,97.75237815,3.440059528,90.3068916,1.790366431
2535,WIZMAV04_clean,5.291585198,2.090445925,0.192832315,0.507699635,0.186903011,0.023292008,12.9992,6.70087,2208.07,3066.58,1.02625,0.738949,93.80402013,3.201139273,100.661906,1.89761361
2536,WIZMAV05_clean,5.219346901,2.012774401,0.209108374,0.520951985,0.189383397,0.022677817,13.01322,6.71578,2207.18,3062.23,1.02557,0.739202,90.16977277,3.2065725,95.65236391,1.803666027
2537,WIZMAV06_clean,5.313058256,2.075469116,0.189832229,0.502290031,0.197060783,0.023858954,12.97792,6.69479,2205.24,3043.4,1.01803,0.737656,95.19903114,3.23758914,94.78913947,1.885636887
2538,WIZMAV07_clean,5.357445359,2.115887601,0.185273043,0.492179504,0.192666956,0.02166204,12.91792,6.65215,2208.46,3034.23,1.01144,0.736173,97.96630668,3.241557758,98.83889176,1.930614558
2539,WIZMAV08_clean,5.492024031,1.998577142,0.211423401,0.486486427,0.19356462,0.023244763,12.93894,6.67,2203.46,3025.23,1.01077,0.736204,101.602457,3.493446889,92.9260434,1.787153741
2540,WIZMAV09_clean,5.316081965,2.290105208,0.20032072,0.505691703,0.186926634,0.02374084,12.9296,6.65994,2206.37,3029.93,1.01106,0.736242,94.61246329,3.025976757,110.2622266,2.089784488
2541,WIZMAV10_clean,5.342090587,2.07428798,0.197604106,0.496927672,0.19486387,0.02426054,12.93471,6.66027,2205.91,3024.7,1.00966,0.736347,96.75213918,3.267802607,95.8032488,1.876683874
2542,WIZMAV11_clean,5.251497432,2.010530242,0.209368224,0.492439354,0.192170879,0.023410122,12.97087,6.68384,2207.15,3041.05,1.01699,0.738117,95.97826922,3.24096719,94.15980334,1.801162018
2549,WOBHOL_clean,6.902154282,3.680775766,2.461497794,0.268992887,0.429791029,0.162978194,0.02383952,10.8427,1602.65,1318.21,0.54704,0.665075,230.9332014,3.221378516,77.07695056,1.219277972
2569,WUGPUL_clean,5.899565667,3.152415347,0.89744338,0.607931232,0.231659774,0.032651457,11.44375,6.32835,2385.2,3292.35,1.03217,0.747773,87.33897553,2.74715032,122.4715782,2.254971967
2633,XAMDUM03_clean,4.400332759,1.772369166,0.354341574,0.46580113,0.179087515,0.029169401,13.15783,6.68196,2099.42,2364.68,0.812286,0.721165,85.0212511,2.627963593,89.06998617,1.418027592
2709,XIGFOJ_manual,6.654575089,0.625714726,0.02523942,0.385838133,0.127425986,0.014273979,18.90864,18.72951,1366.55,1974.68,1.10124,0.762101,155.2235787,6.028860363,44.19375287,0.600475306
2733,XOXMED_clean,6.265749347,0.783621883,0.056937454,0.381507042,0.210956966,0.021999142,15.16897,12.47589,1898.52,3804.65,1.58872,0.79277,147.8131146,5.482127464,33.43144851,0.726684429
2753,XUVREN_clean,4.767604291,0.895404201,0.09471812,0.481758409,0.235558413,0.024297974,12.36772,9.66319,1977.13,2949.57,1.08321,0.726087,89.06629924,3.87220009,34.21078325,0.800686081
2764,YAPRUE_charged,6.763869645,0.995497143,0.259895199,0.207481441,0.0942456,0.014204021,8.30129,6.44362,1329.19,1152.68,0.474555,0.547223,293.3989012,5.768372502,95.0651732,0.735601944
2768,YASLOW_clean,5.586917965,1.043865954,0.010612347,0.427722652,0.190965691,0.018736541,11.27088,6.0369,2239.15,2707.29,0.842742,0.697017,117.5580986,4.543052011,49.19623801,1.033253607
2769,YASLUC_clean,5.518105874,1.04416597,0.01352812,0.380673236,0.18316362,0.017871358,11.46825,6.36077,2186.29,2541.41,0.776278,0.667804,130.4608472,4.473939904,51.30655165,1.03063785
2780,YEMMAF_clean,5.804387243,1.142886676,0.001894233,0.506086082,0.03220196,0.003314908,9.71746,9.09928,1387.16,1042.04,0.433674,0.577305,103.2225288,4.661500567,319.4209323,1.140992443
2782,YENLUA_ion_b,4.716416542,1.18041173,0.055698092,0.470574917,0.083567952,0.009137318,21.49217,18.9061,1363.62,1715.61,0.88696,0.704986,90.20401926,3.536004812,127.1265517,1.124713638
2783,YICQUY_clean,4.864739392,1.182999315,0.084078264,0.518938866,0.151940765,0.016590694,7.92388,6.14546,2268.65,2352.93,0.731627,0.705419,84.36958069,3.681740077,70.07331992,1.098921051
2784,YILBEC_clean,5.268867182,1.186536261,0.259597705,0.280946929,0.201574219,0.030429695,14.26553,10.1169,1824.54,2811.41,1.18764,0.770751,168.7856308,4.082330921,52.97714361,0.926938556
2816,YOYRAH_clean,4.374562838,1.450034156,0.018035128,0.460944729,0.222917603,0.026668057,7.09133,6.25516,1044.25,978.493,0.493048,0.526181,85.41385347,2.924528682,58.54318918,1.431999028
2817,YOYREL_clean,4.315893388,1.454576753,0.073080733,0.471050175,0.239072292,0.026668057,7.29129,6.3252,1084.32,1035.83,0.51082,0.534735,82.460516,2.861316635,54.75829368,1.38149602
2819,YOZBUL_clean,4.346313054,1.480845279,0.112357101,0.458733517,0.108395622,0.013532836,12.14931,10.28809,1554.47,1444.1,0.594389,0.639816,85.27133082,2.865467775,122.9533745,1.368488178
2822,YOZMOR_clean,4.402605968,1.508418637,0.499155301,0.462473979,0.173590483,0.025439272,13.20023,6.57013,2132.31,2399.92,0.811429,0.72095,85.67715269,2.894187331,78.20571438,1.009263336
2824,YOZNAE_clean,4.46542919,1.852954415,0.391735857,0.444143651,0.169664032,0.028373778,13.27907,6.70029,2093.52,2371.1,0.81814,0.722362,90.48618091,2.612474775,98.29183921,1.461218558
2845,YUXQIS_clean,4.441477837,1.782856924,0.180839868,0.430483733,0.166694304,0.017942531,17.65359,14.41981,1797.17,2608.64,1.08209,0.745479,92.85670391,2.658620913,96.25831196,1.602017056
538,DOTSOV43_clean,4.334492368,1.770850249,0.363444741,0.477373829,0.19359472,0.027361167,13.28671,6.68963,2089.53,2357.5,0.814204,0.721657,81.71883112,2.563642119,82.32482911,1.407405508
