P,q
0.0001,2.71751e-05
0.001,0.0004891509
0.01,0.0047556341
0.05,0.0214547037
0.1,0.0471215406
0.5,0.2108648179
1.0,0.4167158386
5.0,1.812643922
10.0,3.1293567282
15.0,4.1719276073
