P,q
0.0001,0.0024878251
0.001,0.0276353772
0.01,0.2825733348
0.05,1.4900277249
0.1,2.5330420028
0.5,3.8405608236
1.0,4.306322726
5.0,4.9074017979
10.0,5.2073770848
15.0,5.30595395
