,SMILE,IP,EA,HomoLumoGap,MolWt,MolLogP,MolMR,HeavyAtomCount,LabuteASA,BalabanJ,BertzCT,GWP
116,C(F)(F)(Br)Br ,-0.6835937849225239,1.650661867858778,-1.479006268758378,0.6394909047329966,0.18472888784110622,0.2873818929357274,-0.7583572064563079,-0.22155149838778843,-0.5448312193663664,-0.7499498306573504,2.3340167312825355
117,C(F)(F)(Cl)Br  ,0.016652741196783536,1.3953770392311198,-1.1842978275414056,0.05551864487494757,0.020763459876298015,-0.12746987085813305,-0.7583572064563079,-0.3820888698447851,-0.5448312193663664,-0.7293999483000051,3.2508637697329386
118,C(F)(F)(Cl)Cl,0.435603626618152,1.0483823468134723,-0.6345113316112228,-0.5284536149831016,-0.1432019680885102,-0.542321634651994,-0.7583572064563079,-0.542626241301782,-0.5448312193663664,-0.7499498306573504,4.092000647242791
119,C(F)(F)(F)Br ,0.37174485483353564,0.701537524141852,-0.7736943385075932,-0.16065789864407798,-0.2621057890085377,-0.7678314906375311,-0.7583572064563079,-0.6585359480861993,-0.5448312193663664,-0.7577062553385954,3.847429916077754
120,C(F)(F)(F)Cl,1.3692707820253862,0.11802671621987637,0.05963327323300404,-0.744630158502127,-0.42607121697334593,-1.1826832544313919,-0.7583572064563079,-0.819073319543196,-0.5448312193663664,-0.7577062553385954,4.211785838439673
121,C(F)(F)(F)F,3.6791159354077094,-3.675814610547055,3.6854731710891326,-0.9608067020211521,-0.7089404658581822,-1.8230448742107896,-0.7583572064563079,-1.0955203977846104,-0.5448312193663664,-0.7910495953720411,3.867054988196457
122,C(F)(F)(F)S(F)(F)(F)(F)F ,1.9221370011511245,1.699714936767768,-0.36608696116822276,0.458811718891784,1.7374111147314308,-0.2004805423651198,0.26150248498493395,-0.008469559802406669,1.2796348178332135,0.4443939277513256,4.268376933995384
123,C(F)(F)Br,0.016650585162470827,0.5181600480831929,-0.760892770358612,-0.3970004096077528,-0.57428083827914,-0.7747141971936427,-0.9623291447445562,-0.8461541614747127,-1.1489365433614862,-0.876994628318971,2.5926856492176134
124,C(F)(F)Cl  ,0.9427683325241568,-0.006830659698495669,0.02204569015727214,-0.9809726694658016,-0.7382462662439485,-1.1895659609875033,-0.9623291447445562,-1.0066915329317097,-1.1489365433614862,-0.876994628318971,3.2958452088609493
125,C(F)(F)F  ,2.6323540270966066,-2.1628432600898684,2.2954135317630544,-1.197149212984827,-1.0211155151287843,-1.829927580766901,-0.9623291447445562,-1.2831386111731238,-1.1489365433614862,-0.9053009353575612,4.185626208982919
126,C(F)F ,1.2676626522761365,-1.7512979438929845,1.459634555908823,-1.4334917239485019,-1.3316099450224252,-1.833841276651749,-1.1663010830328044,-1.470756824561637,-1.7451626954616415,-0.9591941577483525,2.87903223985766
127,C(OC(C(F)(F)F)C(F)(F)F)F,-0.05036405489641712,-0.614714494529794,0.5872213052452727,0.511243234247872,0.28630132143621884,0.30856983272611005,0.6694463615614307,0.5576938202455162,0.6873761742247901,0.25907853969896505,3.196510908927534
128,C(OC(C(OC(C(OC(C(OC(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F ,0.1677001930513714,-0.022514670721796054,0.9335445797437756,4.005998823686554,3.0505000416936787,3.4222522966987667,3.9329973741734046,4.083932419018654,1.7162585940609605,3.8702208541768273,3.7373893379112
129,C(OC(C(OC(C(OC(F)F)(F)F)(F)F)(F)F)(F)F)(F)F  ,0.3730805180900363,-0.2980692403981356,0.9911516364141905,2.4818852203275332,1.7877246573292163,1.9405810167076203,2.505193806155666,2.529780798663463,1.3520852490957194,2.1965441877474094,3.7564884557320393
130,C(OC(C(OC(OC(F)F)(F)F)(F)F)(F)F)(F)F ,0.6710107720206201,-0.5610931077694555,1.1959767267978907,1.8249213545265057,1.1204137259644327,1.2729584807647987,1.8932779912909208,1.8678635608229888,1.0055280017093522,1.748087197578355,3.494415067502638
131,C(OC(F)(F)F)(F)F,1.6547841648468606,-1.6025049295718696,1.8560746078416348,-0.32999947542683306,-0.42565106212910586,-1.0158788367185705,-0.14644139159156278,-0.3909042286584067,-0.22962024086869698,-0.31635007749077915,4.141914223956639
132,C(OC(F)F)(F)F,1.2494448630479333,-1.5460429521916301,1.7471250916800924,-0.5663419863905078,-0.7378261113997081,-1.022761543274682,-0.3504133298798111,-0.57852244204692,-0.6056733288410844,-0.5872457478326151,3.8184017655805436
133,C=C(C(F)(F)F)C(F)(F)F,0.126472666633196,1.2140328276383507,-0.8661652403497018,0.038229776368655384,0.54259577642285,0.0780666406116294,0.26150248498493395,0.10869832793091407,0.6421672166320789,0.25378698444472,0.8239603165707847
134,C=C(C(F)(F)F)F,-0.5441047791155849,0.5125703612812629,-0.8901341339052417,-0.6187340894323718,-0.12471515494193365,-0.5895558953311906,-0.3504133298798111,-0.5532189099095612,0.1175133204634032,-0.17140378853245508,-0.305309223598777
135,C=C(F)F,-1.1022253616622324,-0.5241466154682887,-0.6464957783889923,-1.275697955233399,-0.7920260863067172,-1.2571784312740106,-0.9623291447445562,-1.2151361477500362,-0.7352967373387768,-0.7098761777738192,-1.2804133368681887
136,C=CC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F  ,-0.7154440713059974,1.1038121744737888,-0.8827800415643376,2.4297427286090882,2.899664452611383,2.7416740778267985,2.505193806155666,2.5687490659043006,2.1939998569281824,3.131564681338944,-0.8063608380357303
137,C=CC(C(C(C(F)(F)F)(F)F)(F)F)(F)F ,-0.5776920745428028,1.0108764481594028,-0.8807372381363082,1.1158149970070343,1.565042589881815,1.4064290059411582,1.2813621764261758,1.2449145902233507,1.5704771341532797,1.5588191109815703,-0.6914625220789894
138,C=CC(C(C(F)(F)F)(F)F)(F)F,-0.518375662797874,0.933846543881812,-0.8763792574898467,0.45885113120600785,0.8977316585170315,0.7388064699983381,0.6694463615614307,0.5829973523828756,1.137904617242645,0.8283486032820353,-0.6175040917682122
139,C=CC(C(F)(F)F)(F)F,-0.42627025428030313,0.7873331601843105,-0.8541807935719322,-0.19811273459501905,0.2304207271522479,0.07118393405551808,0.05753054669668559,-0.07891988545759966,0.5762095674813568,0.14907887515661586,-0.7484703904916286
