,SMILE,IP,EA,HomoLumoGap,MolWt,MolLogP,MolMR,HeavyAtomCount,LabuteASA,BalabanJ,BertzCT,GWP
15,C(=C(/F)\Cl)(\F)/Cl  ,0.34915741,-0.06960847,0.24204,132.924,2.5296000000000003,20.948,6,43.35219336965772,3.675948764555208,59.61727061434748,-0.8885976
16,C(=C(\C(F)(F)F)/F)\F,0.38680363,-0.078676595,0.26133,132.031,2.3290999999999995,16.354000000000003,8,41.60720923906968,4.0288936847484,98.73163483668569,-0.84857047
17,C(=C(Cl)Cl)(Cl)Cl,0.34069019,-0.03826466,0.22142,165.834,3.0682,30.438,6,55.6276550175686,3.675948764555208,55.61727061434748,0.27803254
18,C(=C(Cl)Cl)(F)F,0.34990958,-0.07309798,0.24667,132.924,2.5296,20.948,6,43.35219336965772,3.675948764555208,59.61727061434748,-0.982161
19,C(=C(Cl)Cl)Cl,0.34557732,-0.05399329,0.2316,131.389,2.5017000000000005,25.642,5,45.324388790686925,3.1431973062780685,42.85475297227335,-1.0832348
20,C(=C(F)F)(C(=C(F)F)F)F,0.322808574,-0.052947202,0.2002,162.03199999999998,3.1415999999999995,20.700000000000003,10,51.448083724208274,4.708295226687178,159.92449716458776,-2.1265547
21,C(=C(F)F)(C(C(F)(F)F)(F)F)F,0.382938944,-0.066658337,0.25522,200.028,3.261599999999999,21.352000000000004,12,60.468757562245,5.007620490306531,193.59362498294956,-0.94144124
22,C(=C(F)F)(C(C(F)(F)F)(F)F)F ,0.381971942,-0.072161368,0.26111,200.028,3.261599999999999,21.352000000000004,12,60.468757562245,5.007620490306531,193.59362498294956,-0.78822887
23,C(=C(F)F)(C(F)(F)F)F,0.385783705,-0.084676947,0.26608,150.021,2.6263,16.405,9,45.77274464199592,4.399515870465617,125.72862410467503,-1.1502451
24,C(=C(F)F)(F)F,0.367042484,-0.140748955,0.2841,100.014,1.991,11.458000000000002,6,31.07673172174684,3.675948764555208,55.61727061434748,-2.2564433
25,C(=C(F)F)(OC(F)(F)F)F,0.369837428,-0.110437553,0.27597,166.01999999999998,2.5579,17.490000000000002,10,50.8862898715028,4.055712041081348,141.56214348997952,-1.979331
26,C(=C(F)F)F,0.367537859,-0.134661826,0.28046,82.024,1.6937999999999998,11.407000000000002,5,26.911196318820604,3.1431973062780685,42.85475297227335,-2.1730316
27,C(=C/Cl)\C(F)(F)F  ,0.380799562,-0.054501372,0.25117,130.496,2.3012,21.048,7,43.57940466009889,3.559682478280344,72.73943005576992,-0.68945616
28,C(=C/Cl)\F  ,0.357129643,-0.097376176,0.25675,80.489,1.6659000000000002,16.101,4,28.88339173984981,2.549193338482967,21.219280948873624,-1.7592615
29,C(=C/F)\C(F)(F)F,0.395292688,-0.080720398,0.27302,114.041,2.0319,16.303,7,37.44167383614344,3.559682478280344,69.49431755793337,-0.029638503
30,C(=C\C(F)(F)F)\C(F)(F)F,0.418603578,-0.033431564,0.26327,164.048,2.6672,21.25,10,52.13768675639253,4.014558659868984,109.66369253840436,0.8457679
31,C(=C\F)\C(F)(F)F,0.394313412,-0.075322411,0.26707,114.041,2.0319,16.303,7,37.44167383614344,3.559682478280344,69.49431755793337,-0.09891802
32,C(=CC(F)(F)F)C(F)(F)F,0.420768808,-0.03959119,0.27159,164.048,2.6672,21.25,10,52.13768675639253,4.014558659868984,109.66369253840436,1.6648898
33,C(=CCl)C(F)(F)F ,0.380799567,-0.054501368,0.25117,130.496,2.3012,21.048,7,43.57940466009889,3.559682478280344,72.73943005576992,-0.68945616
34,C(=O)(C(C(F)(F)F)(C(F)(F)F)F)C(C(F)(F)F)(F)F,0.40479327,0.01439948,0.21221,316.04099999999994,3.5859999999999994,31.95800000000001,19,94.71190853497116,6.059229778170059,341.886572833313,0.08754631
35,C(Br)(Br)Br,0.3652842,-0.00429108,0.20765,252.731,2.4547,30.569,4,50.34189384475364,2.3237900077244498,8.0,0.018367864
36,C(Br)Br ,0.37603692,-0.04564583,0.24224,173.83499999999998,1.7337,22.721,3,36.47434623911227,1.6329931618554523,2.754887502163468,0.15039729
37,C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F  ,0.42710509,-0.08330107,0.3597,338.03799999999995,4.6522,31.898000000000007,20,98.88145724077988,6.082753304270882,318.84086807980646,3.6879532
38,C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,0.42810556,-0.11445633,0.37523,220.034,3.0844,21.953000000000003,13,65.32389599735549,5.039847128628226,176.5439480752344,3.5576525
39,C(C(C(C(F)(F)F)(F)F)(F)F)O,0.394277715,-0.118131188,0.33801,200.053,1.8116,23.0348,12,61.78705894369902,4.847021821216797,159.27953606077998,1.5360702
40,C(C(C(C(F)(F)F)F)(F)F)O,0.397771334,-0.126354823,0.3478,182.063,1.5144,22.983799999999995,11,57.62152354077279,4.352448403526289,129.03419779635638,1.4443947
41,C(C(C(F)(F)Cl)(F)F)(F)Cl  ,0.41301378,-0.06068886,0.31399,202.937,2.9877,26.496,10,62.90334472501729,4.403817966606919,116.55169583620196,2.502427
42,C(C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F ,0.43155834,-0.10653184,0.36586,288.03099999999995,4.0169,26.951000000000004,17,84.1854443205308,5.733228775936009,250.25156354602237,3.69292
43,C(C(C(F)(F)F)(F)F)(C(F)(F)F)(F)F ,0.45274427,-0.11874679,0.39637,238.024,3.3816,22.004000000000005,14,69.48943140028172,5.300082077607573,181.14233798589447,4.1001506
44,C(C(C(F)(F)F)(F)F)(F)F,0.444128271,-0.146483982,0.40148,170.027,2.4491,17.006000000000004,10,50.62788307710641,4.403817966606919,110.50985185623556,3.3740473
45,C(C(C(F)(F)F)(F)F)F,0.442388325,-0.138171478,0.39405,152.037,2.1535,16.977000000000004,9,46.46234767418017,4.144726366744759,90.96632017383186,3.0417063
46,C(C(C(F)(F)F)(F)F)O,0.402461134,-0.13416049,0.3498,150.04600000000002,1.1763000000000003,18.0878,9,47.09104602344996,4.144726366744759,94.86645470372198,1.576452
47,C(C(C(F)(F)F)F)(C(C(F)(F)F)(F)F)F,0.43849431,-0.09893422,0.37426,252.051,3.4224999999999994,26.849000000000004,15,75.85437351467833,4.939401424040852,210.83308753677892,3.5474544
48,C(C(C(F)(F)F)F)F,0.441109306,-0.135181198,0.38883,134.047,1.8563000000000005,16.926000000000002,8,42.29681227125394,3.623281003705976,64.56425891682002,2.6286955
49,C(C(C(F)F)(F)F)F,0.425993591,-0.144049611,0.38625,134.047,1.8563000000000005,16.926000000000002,8,42.29681227125394,3.708324167474306,68.07403392114698,2.7703953
50,C(C(C(F)F)(F)F)O,0.391070215,-0.137037425,0.34576,132.056,0.8791,18.036800000000003,8,42.92551062052372,3.708324167474306,71.6836743955838,1.3312116
51,C(C(C(F)F)(F)F)OC(F)F,0.41273935,-0.139536222,0.38321,182.063,2.1260000000000003,22.907,11,57.94083501808366,3.729270365317557,113.14991061829625,2.5746572
52,C(C(Cl)(Cl)Cl)(F)(F)Cl,0.40493145,-0.0206872,0.26619,203.83,3.1882,31.090000000000003,8,64.64832885560531,4.020391543176799,67.01955000865388,2.301091
53,C(C(Cl)(Cl)Cl)(F)(F)F,0.41366938,-0.02413213,0.26783,187.375,2.9189,26.345,8,58.51059803164989,4.020391543176799,67.50977500432694,3.0446568
54,C(C(Cl)Cl)(F)F ,0.41720555,-0.06150521,0.29595,134.94,2.0552,21.498,6,44.04179640184197,2.993497243478473,30.52932501298081,2.4029903
