P,q
0.0001,4.05664e-05
0.001,0.0005215676
0.01,0.0042710595
0.05,0.0228678439
0.1,0.0433306813
0.5,0.2238104738
1.0,0.4308322645
5.0,1.9124031261
10.0,3.4251521428
15.0,4.6024288471
