P,q
0.0001,0.0120377095
0.001,0.1227550061
0.01,1.1851847311
0.05,3.9507984964
0.1,4.9206304557
0.5,6.1898569189
1.0,6.5559440377
5.0,7.0032579166
10.0,7.3341430688
15.0,7.3378840185
