5517,6,,,,,,,,,
LCD,PLD,AGSA,Density,VF,dH,LNG-ANG_WC,ANG_WC,5bar,6bar,65bar
17.30249,9.82354,3751.27,0.511068,0.8468,-10.33781273,453.279364,196.423184,27.35813811,480.6375021,223.7813221
13.01322,6.71578,3075.9,0.720774,0.7358,-13.92532622,415.0436454,151.3897903,46.99880374,462.0424491,198.3885941
12.91792,6.65215,3048.29,0.727849,0.7332,-14.07340149,403.9428062,148.4076649,48.11294672,452.055753,196.5206116
12.97087,6.68384,3055.09,0.725786,0.735,-14.04742736,398.9349355,146.7019318,48.50073036,447.4356658,195.2026622
22.77836,8.92569,4415.34,0.406231,0.8602,-9.911366582,397.1350461,173.7721229,23.5454601,420.6805062,197.317583
20.14565,8.54605,5353.8,0.342062,0.863,-8.817501548,396.6840911,167.5032364,19.12663464,415.8107258,186.6298711
12.9296,6.65994,3042.89,0.728191,0.7334,-14.06968683,395.9957142,147.2651811,48.95370496,444.9494192,196.2188861
12.97792,6.69479,3057.36,0.724595,0.7346,-14.03000444,395.1276923,152.0388864,47.17045871,442.298151,199.2093451
20.24597,8.58384,5368.02,0.340053,0.8648,-8.773220887,393.6752125,169.9580409,18.24164127,411.9168538,188.1996822
12.96894,6.6809,3065.86,0.722585,0.7354,-13.98242795,393.6119744,145.7694881,47.81010878,441.4220832,193.5795968
20.93415,10.62864,4789.64,0.373403,0.862,-10.0436311,392.4871731,172.3101329,22.99207293,415.479246,195.3022058
12.93472,6.66027,3038.67,0.7293,0.7334,-14.03476343,392.3787747,149.4378738,47.70683971,440.0856144,197.1447135
12.99921,6.70087,3079.99,0.720044,0.7354,-13.87269251,389.1367286,151.6381917,46.77579804,435.9125266,198.4139897
11.38543,11.12419,4292.99,0.437316,0.832,-9.686385165,389.0545641,194.8372598,27.04837714,416.1029412,221.8856369
11.63969,10.91793,4465.52,0.407232,0.8666,-7.576149028,384.726318,153.7927157,15.06882651,399.7951445,168.8615422
22.4236,6.86083,4453.33,0.430914,0.8428,-10.64800036,384.6002778,161.6057691,26.93154097,411.5318188,188.5373101
17.23979,11.94779,5633.74,0.311959,0.8662,-9.372928281,383.1561815,157.5028759,19.33836953,402.4945511,176.8412455
11.45503,9.77333,4968.9,0.404958,0.8444,-9.583871707,382.8398077,178.7072724,23.44432584,406.2841335,202.1515983
10.8747,9.02496,6786.58,0.338372,0.8498,-8.559256948,382.3511238,152.7080496,17.259174,399.6102978,169.9672236
18.51563,14.09815,5250.21,0.326366,0.8698,-9.730616633,381.8905663,156.5860067,20.30037634,402.1909426,176.886383
11.13693,10.31061,2614.92,0.748964,0.808,-8.773654385,380.8221992,164.9033584,19.06978743,399.8919866,183.9731458
19.63512,11.96639,4780.85,0.368208,0.8394,-10.58805962,379.7700051,168.8133626,25.42732241,405.1973275,194.2406851
13.68087,10.37066,4736.79,0.399582,0.837,-11.07514321,379.4122825,171.1479946,24.74804982,404.1603323,195.8960444
26.2956,9.06734,3098.71,0.576598,0.8298,-11.43997153,379.2211742,162.880824,27.29027368,406.5114479,190.1710976
14.31673,13.37952,4748.26,0.356183,0.8698,-9.443560626,379.0733199,156.8381463,19.29765004,398.3709699,176.1357963
15.02646,7.9821,3702.8,0.595037,0.8104,-10.65457549,378.6583871,190.9151183,29.87922184,408.5376089,220.7943402
15.28058,14.48863,5189.2,0.352218,0.863,-9.71544146,377.9669286,165.2004282,20.85255148,398.8194801,186.0529797
13.32178,10.04301,6230.37,0.313342,0.8528,-7.409430438,377.9021162,142.6468104,13.40721223,391.3093284,156.0540226
20.25844,8.96976,3799.24,0.559917,0.8486,-7.66871736,377.5192239,134.6369949,13.66273499,391.1819589,148.2997299
14.70209,8.11021,3422.27,0.628556,0.8094,-9.650692729,377.0839809,167.7992565,21.55350342,398.6374843,189.35276
14.4419,10.2051,4708.57,0.443469,0.8326,-10.42204803,376.9902081,172.7799478,26.41548258,403.4056907,199.1954303
12.93895,6.67,3038.55,0.728362,0.7332,-14.04986188,376.8309083,147.5219046,48.51322129,425.3441296,196.0351259
