Screening ID,MOFs,5SF6,1SF6,0SF6,5N2,1N2,0N2,LCD,PLD,VolumetricSurfaceArea,GravimetricSurfaceArea,PoreVolume,VoidFraction,5Selectivity,5WC,1Selectivity,1WC,
2457,VURNED01_clean,4.490811474,4.313955009,2.511733085,0.064771503,0.044897561,0.030122436,7.81638,7.00072,2008.36,2032.96,0.660307,0.652317,623.9982334,0.176856465,864.7595577,1.802221924,
1659,OBAHAD_clean,3.410018628,2.526038761,0.72757562,0.3072129,0.147144283,0.028522668,8.91086,7.70833,1586.05,1680.89,0.645381,0.608968,99.89869453,0.883979867,154.5037863,1.798463141,
2746,XUMNAW_clean,3.372816885,2.72875575,0.930619027,0.327719822,0.125887541,0.026061557,8.02798,7.30674,1521.15,1693.71,0.671209,0.602822,92.62592583,0.644061135,195.0852446,1.798136723,
480,DIRPIF_clean,3.261011007,2.20678075,0.416081069,0.338526744,0.135444601,0.023732471,8.33531,6.07292,1795.06,2070.28,0.721951,0.625977,86.69654491,1.054230257,146.635795,1.790699681,
2278,UMIGAA_clean,6.423910599,2.440547617,0.654815491,0.355667084,0.156254081,0.028952369,8.22153,7.12751,2008.24,1824.71,0.578423,0.6366,162.554248,3.983362982,140.5718712,1.785732126,
1701,OLEYAH_clean,3.116090754,2.400383643,0.620160947,0.304523476,0.128580378,0.025408304,9.33868,8.65469,1582.84,1181.5,0.468387,0.627489,92.09410438,0.715707111,168.01516,1.780222696,
833,GIJXAA_clean,4.551685001,3.876569616,2.104088433,0.385392327,0.172389552,0.039457796,10.59462,7.92596,1749.3,1766.24,0.662799,0.656441,106.2947084,0.675115385,202.385389,1.772481183,
1305,KOSJIN_clean,2.959256814,1.939576444,0.170144846,0.266029126,0.115985387,0.016868902,11.01144,9.80964,1560.96,1315.75,0.536713,0.636739,100.1142684,1.01968037,150.5033388,1.769431598,
1664,OBAJAF_clean,3.363372182,2.536561447,0.769468288,0.34806568,0.140805913,0.027829409,9.06317,7.71444,1602.89,1706.21,0.649554,0.61022,86.96734949,0.826810735,162.1313518,1.767093159,
1238,JUHNIL_clean,3.260579797,2.099127035,0.337233034,0.362357094,0.128433874,0.019100625,10.7839,7.20309,1841.02,1778.54,0.651529,0.67442,80.98425189,1.161452762,147.0962662,1.761894001,
12,acs.inorgchem.6b00276_ic6b00276_si_006_clean,5.351958488,3.228344282,1.477567917,0.543813091,0.203861231,0.03094308,14.12459,8.71298,1978.43,2598.68,0.936346,0.712859,88.57386332,2.123614206,142.5239041,1.750776365,
2440,VOXTOT_clean,3.983737358,3.407907443,1.660291655,0.893711276,0.16464948,0.02746781,21.5482,10.34857,1552.15,1790.34,0.802418,0.695662,40.11769481,0.575829915,186.2815904,1.747615788,
1317,KOSLUB_clean,2.939067017,1.910512615,0.18338235,0.268405198,0.119066766,0.01914218,10.96072,9.79504,1606.44,1338.36,0.540286,0.64851,98.55100926,1.028554402,144.4115274,1.727130265,
2839,YUMYUC_clean,2.179310252,1.731025085,0.006722669,0.578628016,0.047669834,0.0059078,6.81125,6.65142,1747.35,1382.73,0.485348,0.613329,33.89706638,0.448285167,326.8151881,1.724302416,
668,EWUKAK_clean,2.989352274,2.328609209,0.653242869,0.389365009,0.144802169,0.025807126,8.04721,6.79377,1975.9,1775.64,0.568951,0.633115,69.09755588,0.660743065,144.7318298,1.67536634,
2297,UNECUN_clean,3.64835495,2.34968657,0.677692118,0.592354826,0.130630947,0.025391182,8.22266,6.98073,2022.81,1709.95,0.544839,0.644526,55.4316317,1.29866838,161.8849102,1.671994452,
852,GOVSER_clean,2.804139528,2.166612569,0.517322185,0.309744131,0.127547961,0.023891963,7.91349,7.36282,1554.16,1671.99,0.642875,0.597568,81.47775285,0.637526959,152.8798498,1.649290384,
1901,QARLON_clean,2.500611955,2.003011181,0.378888574,0.117396365,0.058363243,0.015526848,10.67987,6.51367,1768.84,1123.5,0.423576,0.666878,191.7053189,0.497600774,308.8776377,1.624122607,
