P,q
0.0001,0.0017256053
0.001,0.0164266924
0.01,0.1880909789
0.05,1.0283002437
0.1,2.0215265563
0.5,3.1108650716
1.0,3.2409543092
5.0,3.6156514437
10.0,3.7410052993
15.0,3.8916279024
